country,year,tech,capacity_mw
DE,2019,Biomass,7782.13
DE,2019,Lignite,21205.0
DE,2019,Gas,31745.0
DE,2019,Hard coal,25293.0
DE,2019,Oil & other fossil,4356.0
DE,2019,Geothermal,41.75
DE,2019,Hydro pumped (production),9422.0
DE,2019,Hydro run-of-river,4007.92
DE,2019,Hydro reservoir,1309.0
DE,2019,Marine,0.0
DE,2019,Nuclear,9516.0
DE,2019,Other,1235.0
DE,2019,Other renewable,444.59
DE,2019,Solar,45434.98
DE,2019,Waste,1707.0
DE,2019,Offshore wind,6393.0
DE,2019,Onshore wind,52945.63
DE,2020,Biomass,8033.63
DE,2020,Lignite,21067.0
DE,2020,Gas,31793.06
DE,2020,Hard coal,22458.4
DE,2020,Oil & other fossil,4372.53
DE,2020,Geothermal,47.46
DE,2020,Hydro pumped (production),9421.5
DE,2020,Hydro run-of-river,3994.71
DE,2020,Hydro reservoir,1308.5
DE,2020,Marine,0.0
DE,2020,Nuclear,8114.0
DE,2020,Other,1557.77
DE,2020,Other renewable,407.46
DE,2020,Solar,48376.4
DE,2020,Waste,1681.6
DE,2020,Offshore wind,7503.69
DE,2020,Onshore wind,53338.15
DE,2021,Biomass,8447.08
DE,2021,Lignite,20487.0
DE,2021,Gas,32038.23
DE,2021,Hard coal,23499.4
DE,2021,Oil & other fossil,4184.36
DE,2021,Geothermal,43.86
DE,2021,Hydro pumped (production),9421.5
DE,2021,Hydro run-of-river,3838.78
DE,2021,Hydro reservoir,1308.5
DE,2021,Marine,0.0
DE,2021,Nuclear,8114.0
DE,2021,Other,1638.77
DE,2021,Other renewable,420.27
DE,2021,Solar,53537.92
DE,2021,Waste,1660.6
DE,2021,Offshore wind,7773.82
DE,2021,Onshore wind,54666.17
DE,2022,Biomass,8378.89
DE,2022,Lignite,18544.29
DE,2022,Gas,30648.72
DE,2022,Hard coal,18829.51
DE,2022,Oil & other fossil,3966.28
DE,2022,Geothermal,50.9
DE,2022,Hydro pumped (production),9379.24
DE,2022,Hydro run-of-river,3684.53
DE,2022,Hydro reservoir,1309.0
DE,2022,Marine,0.0
DE,2022,Nuclear,4056.0
DE,2022,Other,1678.83
DE,2022,Other renewable,352.43
DE,2022,Solar,58002.29
DE,2022,Waste,1619.5
DE,2022,Offshore wind,7786.82
DE,2022,Onshore wind,55456.32
DE,2023,Biomass,8513.8
DE,2023,Lignite,17692.0
DE,2023,Gas,33135.0
DE,2023,Hard coal,18559.0
DE,2023,Oil & other fossil,4083.0
DE,2023,Geothermal,55.61
DE,2023,Hydro pumped (production),9379.0
DE,2023,Hydro run-of-river,3737.25
DE,2023,Hydro reservoir,1345.0
DE,2023,Marine,0.0
DE,2023,Nuclear,4056.0
DE,2023,Other,1706.0
DE,2023,Other renewable,384.15
DE,2023,Solar,63366.03
DE,2023,Waste,1933.0
DE,2023,Offshore wind,8128.82
DE,2023,Onshore wind,57741.55
DE,2024,Biomass,8659.54
DE,2024,Lignite,18365.0
DE,2024,Gas,37584.0
DE,2024,Hard coal,18411.0
DE,2024,Oil & other fossil,4118.0
DE,2024,Geothermal,54.0
DE,2024,Hydro pumped (production),9449.0
DE,2024,Hydro run-of-river,3752.8
DE,2024,Hydro reservoir,1392.0
DE,2024,Marine,0.0
DE,2024,Other,1630.0
DE,2024,Other renewable,356.45
DE,2024,Solar,77015.56
DE,2024,Waste,1832.0
DE,2024,Offshore wind,8456.0
DE,2024,Onshore wind,60048.62
DE,2025,Biomass,8851.0
DE,2025,Other,13287.52
DE,2025,Lignite,15178.0
DE,2025,Gas,38596.56
DE,2025,Hard coal,15951.0
DE,2025,Oil & other fossil,6913.83
DE,2025,Geothermal,46.0
DE,2025,Hydro pumped (production),9383.8
DE,2025,Hydro run-of-river,3923.0
DE,2025,Hydro reservoir,1459.78
DE,2025,Marine,0.0
DE,2025,Other renewable,399.67
DE,2025,Solar,86951.58
DE,2025,Waste,1887.0
DE,2025,Offshore wind,9215.0
DE,2025,Onshore wind,63403.17
ES,2019,Biomass,507.0
ES,2019,Lignite,0.0
ES,2019,Gas,30266.3
ES,2019,Hard coal,9560.7
ES,2019,Oil & other fossil,713.8
ES,2019,Geothermal,0.0
ES,2019,Hydro pumped (production),5645.4
ES,2019,Hydro run-of-river,1156.2
ES,2019,Hydro reservoir,19145.8
ES,2019,Marine,0.0
ES,2019,Nuclear,7117.2
ES,2019,Other,117.4
ES,2019,Other renewable,260.9
ES,2019,Solar,6751.1
ES,2019,Waste,537.6
ES,2019,Offshore wind,0.0
ES,2019,Onshore wind,22960.6
ES,2020,Biomass,554.6
ES,2020,Lignite,0.0
ES,2020,Gas,30012.3
ES,2020,Hard coal,9213.9
ES,2020,Oil & other fossil,706.5
ES,2020,Geothermal,0.0
ES,2020,Hydro pumped (production),5645.4
ES,2020,Hydro run-of-river,1154.8
ES,2020,Hydro reservoir,19139.4
ES,2020,Marine,0.0
ES,2020,Nuclear,7117.2
ES,2020,Other,117.4
ES,2020,Other renewable,274.8
ES,2020,Solar,8465.8
ES,2020,Waste,543.1
