country,year,tech,capture_price,base_price,capture_vs_base_pct,generation_twh
DE,2019,Nuclear,38.375,37.668,1.88,71.041
DE,2019,Lignite,40.907,37.668,8.6,102.732
DE,2019,Hard coal,44.837,37.668,19.03,47.814
DE,2019,Gas,41.61,37.668,10.46,56.819
DE,2019,Oil & other fossil,38.144,37.668,1.26,3.972
DE,2019,Biomass,37.845,37.668,0.47,39.655
DE,2019,Waste,37.693,37.668,0.07,6.039
DE,2019,Geothermal,37.837,37.668,0.45,0.187
DE,2019,Hydro run-of-river,37.581,37.668,-0.23,14.595
DE,2019,Hydro reservoir,42.08,37.668,11.71,1.969
DE,2019,Hydro pumped (production),46.729,37.668,24.06,8.611
DE,2019,Onshore wind,32.318,37.668,-14.2,99.996
DE,2019,Offshore wind,34.754,37.668,-7.74,24.381
DE,2019,Solar,34.906,37.668,-7.33,41.833
DE,2019,Marine,,37.668,,0.0
DE,2019,Other renewable,38.269,37.668,1.6,1.37
DE,2019,Other,38.768,37.668,2.92,3.328
DE,2020,Nuclear,31.384,30.472,2.99,60.924
DE,2020,Lignite,35.771,30.472,17.39,83.376
DE,2020,Hard coal,39.556,30.472,29.81,34.873
DE,2020,Gas,35.572,30.472,16.74,67.842
DE,2020,Oil & other fossil,31.03,30.472,1.83,3.713
DE,2020,Biomass,30.555,30.472,0.27,40.238
DE,2020,Waste,30.783,30.472,1.02,6.037
DE,2020,Geothermal,30.583,30.472,0.36,0.197
DE,2020,Hydro run-of-river,30.315,30.472,-0.51,14.433
DE,2020,Hydro reservoir,36.133,30.472,18.58,1.591
DE,2020,Hydro pumped (production),30.399,30.472,-0.24,10.817
DE,2020,Onshore wind,24.578,30.472,-19.34,103.419
DE,2020,Offshore wind,27.844,30.472,-8.62,26.883
DE,2020,Solar,24.511,30.472,-19.56,45.937
DE,2020,Marine,,30.472,,0.0
DE,2020,Other renewable,31.141,30.472,2.2,1.405
DE,2020,Other,31.759,30.472,4.22,3.099
DE,2021,Nuclear,97.915,96.85,1.1,65.401
DE,2021,Lignite,106.833,96.85,10.31,98.194
DE,2021,Hard coal,125.42,96.85,29.5,51.84
DE,2021,Gas,107.498,96.85,10.99,60.338
DE,2021,Oil & other fossil,96.103,96.85,-0.77,3.214
DE,2021,Biomass,97.832,96.85,1.01,38.526
DE,2021,Waste,98.797,96.85,2.01,7.085
DE,2021,Geothermal,101.458,96.85,4.76,0.209
DE,2021,Hydro run-of-river,90.367,96.85,-6.69,13.355
DE,2021,Hydro reservoir,107.681,96.85,11.18,1.627
DE,2021,Hydro pumped (production),124.436,96.85,28.48,8.264
DE,2021,Onshore wind,80.735,96.85,-16.64,89.895
DE,2021,Offshore wind,92.349,96.85,-4.65,24.016
DE,2021,Solar,75.458,96.85,-22.09,46.422
DE,2021,Marine,,96.85,,0.0
DE,2021,Other renewable,100.863,96.85,4.14,1.223
DE,2021,Other,100.245,96.85,3.51,2.892
DE,2022,Nuclear,239.408,235.44,1.69,32.824
DE,2022,Lignite,250.988,235.44,6.6,103.526
DE,2022,Hard coal,271.38,235.44,15.27,62.895
DE,2022,Gas,256.938,235.44,9.13,45.912
DE,2022,Oil & other fossil,239.237,235.44,1.61,2.788
DE,2022,Biomass,235.633,235.44,0.08,38.026
DE,2022,Waste,234.557,235.44,-0.38,6.514
DE,2022,Geothermal,226.498,235.44,-3.8,0.203
DE,2022,Hydro run-of-river,236.509,235.44,0.45,11.305
DE,2022,Hydro reservoir,282.906,235.44,20.16,1.556
DE,2022,Hydro pumped (production),299.178,235.44,27.07,10.156
DE,2022,Onshore wind,168.322,235.44,-28.51,101.296
DE,2022,Offshore wind,194.483,235.44,-17.4,24.747
DE,2022,Solar,222.27,235.44,-5.59,55.988
DE,2022,Marine,,235.44,,0.0
DE,2022,Other renewable,230.38,235.44,-2.15,1.087
DE,2022,Other,234.447,235.44,-0.42,2.303
DE,2023,Nuclear,113.538,95.176,19.29,6.738
DE,2023,Lignite,110.011,95.176,15.59,77.844
DE,2023,Hard coal,116.607,95.176,22.52,39.75
DE,2023,Gas,109.818,95.176,15.38,55.94
DE,2023,Oil & other fossil,95.519,95.176,0.36,3.148
DE,2023,Biomass,97.051,95.176,1.97,37.468
DE,2023,Waste,95.295,95.176,0.13,6.727
DE,2023,Geothermal,96.689,95.176,1.59,0.19
DE,2023,Hydro run-of-river,93.637,95.176,-1.62,13.482
DE,2023,Hydro reservoir,110.98,95.176,16.6,1.616
DE,2023,Hydro pumped (production),125.607,95.176,31.97,10.176
DE,2023,Onshore wind,78.586,95.176,-17.43,119.496
DE,2023,Offshore wind,86.555,95.176,-9.06,23.522
DE,2023,Solar,72.182,95.176,-24.16,55.799
DE,2023,Marine,,95.176,,0.0
DE,2023,Other renewable,99.056,95.176,4.08,1.015
DE,2023,Other,100.193,95.176,5.27,1.789
DE,2024,Nuclear,,78.512,,0.0
DE,2024,Lignite,91.311,78.512,16.3,70.986
DE,2024,Hard coal,94.716,78.512,20.64,27.337
DE,2024,Gas,94.95,78.512,20.94,61.63
DE,2024,Oil & other fossil,79.973,78.512,1.86,3.243
DE,2024,Biomass,80.482,78.512,2.51,36.454
DE,2024,Waste,78.863,78.512,0.45,6.574
DE,2024,Geothermal,80.166,78.512,2.11,0.213
DE,2024,Hydro run-of-river,78.138,78.512,-0.48,15.763
DE,2024,Hydro reservoir,100.837,78.512,28.44,1.892
DE,2024,Hydro pumped (production),113.594,78.512,44.68,10.391
DE,2024,Onshore wind,64.554,78.512,-17.78,113.03
DE,2024,Offshore wind,71.41,78.512,-9.05,25.664
DE,2024,Solar,46.228,78.512,-41.12,63.444
DE,2024,Marine,,78.512,,0.0
DE,2024,Other renewable,79.213,78.512,0.89,0.846
DE,2024,Other,83.432,78.512,6.27,1.47
DE,2025,Nuclear,,89.328,,0.0
DE,2025,Lignite,104.228,89.328,16.68,67.167
DE,2025,Hard coal,111.767,89.328,25.12,28.159
DE,2025,Gas,110.403,89.328,23.59,64.758
DE,2025,Oil & other fossil,92.826,89.328,3.92,2.818
DE,2025,Biomass,92.847,89.328,3.94,36.105
