country,year,month,tech,capture_price,base_price,capture_vs_base_pct,generation_gwh
DE,2019,1,Nuclear,50.529,49.414,2.26,6821.53
DE,2019,1,Lignite,54.08,49.414,9.44,9870.77
DE,2019,1,Hard coal,57.59,49.414,16.55,7558.03
DE,2019,1,Gas,55.73,49.414,12.78,6097.39
DE,2019,1,Oil & other fossil,50.735,49.414,2.67,380.72
DE,2019,1,Biomass,49.649,49.414,0.48,3561.94
DE,2019,1,Waste,49.115,49.414,-0.6,489.44
DE,2019,1,Geothermal,49.511,49.414,0.2,17.68
DE,2019,1,Hydro run-of-river,49.751,49.414,0.68,1078.87
DE,2019,1,Hydro reservoir,63.434,49.414,28.37,134.08
DE,2019,1,Hydro pumped (production),63.625,49.414,28.76,824.49
DE,2019,1,Onshore wind,39.113,49.414,-20.85,12547.55
DE,2019,1,Offshore wind,45.65,49.414,-7.62,2213.25
DE,2019,1,Solar,59.144,49.414,19.69,730.23
DE,2019,1,Marine,,49.414,,0.0
DE,2019,1,Other renewable,50.992,49.414,3.19,119.12
DE,2019,1,Other,50.617,49.414,2.43,361.03
DE,2019,2,Nuclear,43.154,42.815,0.79,6196.5
DE,2019,2,Lignite,44.609,42.815,4.19,9836.55
DE,2019,2,Hard coal,46.689,42.815,9.05,5561.74
DE,2019,2,Gas,45.443,42.815,6.14,4775.8
DE,2019,2,Oil & other fossil,43.097,42.815,0.66,398.83
DE,2019,2,Biomass,42.936,42.815,0.28,3225.55
DE,2019,2,Waste,42.782,42.815,-0.08,492.89
DE,2019,2,Geothermal,42.591,42.815,-0.52,16.29
DE,2019,2,Hydro run-of-river,42.886,42.815,0.17,960.4
DE,2019,2,Hydro reservoir,47.335,42.815,10.56,85.39
DE,2019,2,Hydro pumped (production),50.47,42.815,17.88,655.58
DE,2019,2,Onshore wind,38.435,42.815,-10.23,8907.94
DE,2019,2,Offshore wind,41.954,42.815,-2.01,1935.05
DE,2019,2,Solar,42.121,42.815,-1.62,2191.2
DE,2019,2,Marine,,42.815,,0.0
DE,2019,2,Other renewable,43.261,42.815,1.04,120.89
DE,2019,2,Other,43.385,42.815,1.33,324.11
DE,2019,3,Nuclear,31.42,30.615,2.63,6722.19
DE,2019,3,Lignite,35.124,30.615,14.73,8306.82
DE,2019,3,Hard coal,36.035,30.615,17.7,3116.65
DE,2019,3,Gas,33.765,30.615,10.29,3958.7
DE,2019,3,Oil & other fossil,29.133,30.615,-4.84,346.51
DE,2019,3,Biomass,30.867,30.615,0.82,3497.58
DE,2019,3,Waste,31.078,30.615,1.51,498.35
DE,2019,3,Geothermal,30.515,30.615,-0.33,16.62
DE,2019,3,Hydro run-of-river,30.739,30.615,0.41,1280.86
DE,2019,3,Hydro reservoir,34.692,30.615,13.32,119.6
DE,2019,3,Hydro pumped (production),38.71,30.615,26.44,788.13
DE,2019,3,Onshore wind,24.708,30.615,-19.29,13752.52
DE,2019,3,Offshore wind,27.645,30.615,-9.7,2542.55
DE,2019,3,Solar,30.802,30.615,0.61,3030.56
DE,2019,3,Marine,,30.615,,0.0
DE,2019,3,Other renewable,31.56,30.615,3.09,129.1
DE,2019,3,Other,32.039,30.615,4.65,320.09
DE,2019,4,Nuclear,38.44,36.973,3.97,5687.22
DE,2019,4,Lignite,39.444,36.973,6.68,9073.99
DE,2019,4,Hard coal,40.992,36.973,10.87,3413.39
DE,2019,4,Gas,39.777,36.973,7.58,3944.53
DE,2019,4,Oil & other fossil,36.8,36.973,-0.47,230.96
DE,2019,4,Biomass,37.068,36.973,0.26,3334.2
DE,2019,4,Waste,37.388,36.973,1.12,519.86
DE,2019,4,Geothermal,37.197,36.973,0.61,15.26
DE,2019,4,Hydro run-of-river,37.174,36.973,0.54,1245.45
DE,2019,4,Hydro reservoir,38.612,36.973,4.43,122.13
DE,2019,4,Hydro pumped (production),45.269,36.973,22.44,756.01
DE,2019,4,Onshore wind,34.088,36.973,-7.8,7290.6
DE,2019,4,Offshore wind,35.265,36.973,-4.62,1708.93
DE,2019,4,Solar,31.726,36.973,-14.19,5029.32
DE,2019,4,Marine,,36.973,,0.0
DE,2019,4,Other renewable,37.823,36.973,2.3,116.7
DE,2019,4,Other,37.765,36.973,2.14,288.75
DE,2019,5,Nuclear,38.027,37.832,0.51,4612.36
DE,2019,5,Lignite,39.651,37.832,4.81,8651.15
DE,2019,5,Hard coal,41.359,37.832,9.32,3492.56
DE,2019,5,Gas,39.877,37.832,5.41,3627.55
DE,2019,5,Oil & other fossil,37.964,37.832,0.35,243.58
DE,2019,5,Biomass,37.893,37.832,0.16,3401.16
DE,2019,5,Waste,37.609,37.832,-0.59,590.04
DE,2019,5,Geothermal,37.687,37.832,-0.38,15.04
DE,2019,5,Hydro run-of-river,37.693,37.832,-0.37,1430.02
DE,2019,5,Hydro reservoir,41.527,37.832,9.77,121.51
DE,2019,5,Hydro pumped (production),45.911,37.832,21.35,648.41
DE,2019,5,Onshore wind,35.915,37.832,-5.07,6419.47
DE,2019,5,Offshore wind,35.535,37.832,-6.07,1793.76
DE,2019,5,Solar,35.274,37.832,-6.76,5035.99
DE,2019,5,Marine,,37.832,,0.0
DE,2019,5,Other renewable,38.063,37.832,0.61,105.58
DE,2019,5,Other,38.5,37.832,1.76,265.35
DE,2019,6,Nuclear,32.939,32.504,1.34,4572.83
DE,2019,6,Lignite,36.34,32.504,11.8,7006.67
DE,2019,6,Hard coal,38.378,32.504,18.07,2583.46
DE,2019,6,Gas,36.929,32.504,13.61,3938.92
DE,2019,6,Oil & other fossil,33.334,32.504,2.55,296.32
DE,2019,6,Biomass,32.601,32.504,0.3,3173.31
DE,2019,6,Waste,32.598,32.504,0.29,367.23
DE,2019,6,Geothermal,31.906,32.504,-1.84,11.98
DE,2019,6,Hydro run-of-river,32.536,32.504,0.1,1392.05
DE,2019,6,Hydro reservoir,37.17,32.504,14.35,271.37
DE,2019,6,Hydro pumped (production),44.432,32.504,36.7,732.21
DE,2019,6,Onshore wind,24.32,32.504,-25.18,5124.53
DE,2019,6,Offshore wind,27.614,32.504,-15.04,1459.93
DE,2019,6,Solar,29.076,32.504,-10.55,6481.37
DE,2019,6,Marine,,32.504,,0.0
DE,2019,6,Other renewable,32.432,32.504,-0.22,83.83
DE,2019,6,Other,32.383,32.504,-0.37,207.2
DE,2019,7,Nuclear,39.636,39.713,-0.19,5439.35
DE,2019,7,Lignite,41.149,39.713,3.62,8165.63
DE,2019,7,Hard coal,43.614,39.713,9.82,3263.51
DE,2019,7,Gas,41.449,39.713,4.37,5082.99
DE,2019,7,Oil & other fossil,39.777,39.713,0.16,363.73
DE,2019,7,Biomass,39.652,39.713,-0.15,3089.97
DE,2019,7,Waste,39.474,39.713,-0.6,316.41
DE,2019,7,Geothermal,39.633,39.713,-0.2,11.02
DE,2019,7,Hydro run-of-river,39.563,39.713,-0.38,1399.62
DE,2019,7,Hydro reservoir,41.507,39.713,4.52,287.35
DE,2019,7,Hydro pumped (production),46.596,39.713,17.33,627.24
DE,2019,7,Onshore wind,36.579,39.713,-7.89,4854.65
DE,2019,7,Offshore wind,36.467,39.713,-8.17,1668.5
DE,2019,7,Solar,39.154,39.713,-1.41,5761.67
DE,2019,7,Marine,,39.713,,0.0
DE,2019,7,Other renewable,39.884,39.713,0.43,102.19
DE,2019,7,Other,39.96,39.713,0.62,216.61
DE,2019,8,Nuclear,37.324,36.819,1.37,5477.21
DE,2019,8,Lignite,39.201,36.819,6.47,7953.95
DE,2019,8,Hard coal,41.908,36.819,13.82,2867.32
DE,2019,8,Gas,39.621,36.819,7.61,4822.07
DE,2019,8,Oil & other fossil,36.811,36.819,-0.02,375.53
DE,2019,8,Biomass,36.961,36.819,0.39,3055.49
DE,2019,8,Waste,36.756,36.819,-0.17,501.33
DE,2019,8,Geothermal,36.961,36.819,0.39,13.66
DE,2019,8,Hydro run-of-river,36.866,36.819,0.13,1420.31
DE,2019,8,Hydro reservoir,40.434,36.819,9.82,252.03
DE,2019,8,Hydro pumped (production),46.072,36.819,25.13,680.86
DE,2019,8,Onshore wind,30.671,36.819,-16.7,4516.53
DE,2019,8,Offshore wind,32.345,36.819,-12.15,1420.86
DE,2019,8,Solar,33.756,36.819,-8.32,5291.59
DE,2019,8,Marine,,36.819,,0.0
DE,2019,8,Other renewable,37.084,36.819,0.72,97.14
DE,2019,8,Other,37.267,36.819,1.22,246.59
DE,2019,9,Nuclear,36.068,35.766,0.85,5789.7
DE,2019,9,Lignite,38.288,35.766,7.05,7732.85
DE,2019,9,Hard coal,41.093,35.766,14.89,2491.24
DE,2019,9,Gas,38.488,35.766,7.61,4884.12
DE,2019,9,Oil & other fossil,35.851,35.766,0.24,350.97
DE,2019,9,Biomass,35.922,35.766,0.44,2932.15
DE,2019,9,Waste,36.163,35.766,1.11,485.8
DE,2019,9,Geothermal,36.18,35.766,1.16,15.21
DE,2019,9,Hydro run-of-river,36.013,35.766,0.69,1136.34
DE,2019,9,Hydro reservoir,41.271,35.766,15.39,181.92
DE,2019,9,Hydro pumped (production),44.726,35.766,25.05,626.42
DE,2019,9,Onshore wind,30.914,35.766,-13.56,7143.97
DE,2019,9,Offshore wind,33.425,35.766,-6.55,2052.76
DE,2019,9,Solar,33.444,35.766,-6.49,3916.53
DE,2019,9,Marine,,35.766,,0.0
DE,2019,9,Other renewable,36.009,35.766,0.68,104.0
DE,2019,9,Other,36.016,35.766,0.7,219.35
DE,2019,10,Nuclear,37.307,36.948,0.97,6739.53
DE,2019,10,Lignite,39.292,36.948,6.35,8429.84
DE,2019,10,Hard coal,43.71,36.948,18.3,3768.14
DE,2019,10,Gas,40.046,36.948,8.39,5842.4
DE,2019,10,Oil & other fossil,37.044,36.948,0.26,322.67
DE,2019,10,Biomass,37.112,36.948,0.45,3382.12
DE,2019,10,Waste,37.043,36.948,0.26,597.6
DE,2019,10,Geothermal,37.193,36.948,0.67,15.48
DE,2019,10,Hydro run-of-river,36.914,36.948,-0.09,1125.99
DE,2019,10,Hydro reservoir,42.261,36.948,14.38,145.33
DE,2019,10,Hydro pumped (production),43.273,36.948,17.12,793.69
DE,2019,10,Onshore wind,32.293,36.948,-12.6,9354.23
DE,2019,10,Offshore wind,33.446,36.948,-9.48,2335.51
DE,2019,10,Solar,37.858,36.948,2.47,2418.9
DE,2019,10,Marine,,36.948,,0.0
DE,2019,10,Other renewable,37.245,36.948,0.8,122.51
DE,2019,10,Other,37.922,36.948,2.64,260.98
DE,2019,11,Nuclear,40.962,41.005,-0.1,6460.04
DE,2019,11,Lignite,42.506,41.005,3.66,10046.06
DE,2019,11,Hard coal,45.832,41.005,11.77,6046.01
DE,2019,11,Gas,44.005,41.005,7.32,5292.94
DE,2019,11,Oil & other fossil,41.805,41.005,1.95,327.31
DE,2019,11,Biomass,41.09,41.005,0.21,3384.71
DE,2019,11,Waste,40.693,41.005,-0.76,562.08
DE,2019,11,Geothermal,40.841,41.005,-0.4,19.59
DE,2019,11,Hydro run-of-river,41.28,41.005,0.67,1081.75
DE,2019,11,Hydro reservoir,46.578,41.005,13.59,135.42
DE,2019,11,Hydro pumped (production),49.756,41.005,21.34,669.26
DE,2019,11,Onshore wind,37.093,41.005,-9.54,7875.4
DE,2019,11,Offshore wind,38.362,41.005,-6.44,2221.2
DE,2019,11,Solar,43.825,41.005,6.88,1030.06
DE,2019,11,Marine,,41.005,,0.0
DE,2019,11,Other renewable,41.332,41.005,0.8,126.46
DE,2019,11,Other,41.334,41.005,0.8,284.65
DE,2019,12,Nuclear,32.718,31.971,2.34,6522.75
DE,2019,12,Lignite,36.612,31.971,14.52,7657.35
DE,2019,12,Hard coal,40.083,31.971,25.37,3652.34
DE,2019,12,Gas,37.373,31.971,16.9,4551.63
DE,2019,12,Oil & other fossil,32.168,31.971,0.62,334.64
DE,2019,12,Biomass,32.114,31.971,0.45,3616.89
DE,2019,12,Waste,32.243,31.971,0.85,618.29
DE,2019,12,Geothermal,32.108,31.971,0.43,19.3
DE,2019,12,Hydro run-of-river,32.484,31.971,1.61,1043.63
DE,2019,12,Hydro reservoir,37.535,31.971,17.4,112.87
DE,2019,12,Hydro pumped (production),41.485,31.971,29.76,808.94
DE,2019,12,Onshore wind,26.53,31.971,-17.02,12208.46
DE,2019,12,Offshore wind,30.303,31.971,-5.21,3028.71
DE,2019,12,Solar,36.955,31.971,15.59,915.66
DE,2019,12,Marine,,31.971,,0.0
DE,2019,12,Other renewable,32.908,31.971,2.93,142.88
DE,2019,12,Other,33.581,31.971,5.04,333.54
DE,2020,1,Nuclear,35.225,34.979,0.71,5809.82
DE,2020,1,Lignite,37.273,34.979,6.56,7981.33
DE,2020,1,Hard coal,40.099,34.979,14.64,4579.02
DE,2020,1,Gas,38.124,34.979,8.99,6552.33
DE,2020,1,Oil & other fossil,35.313,34.979,0.95,338.86
DE,2020,1,Biomass,35.172,34.979,0.55,3607.2
DE,2020,1,Waste,34.528,34.979,-1.29,581.94
DE,2020,1,Geothermal,34.752,34.979,-0.65,20.98
DE,2020,1,Hydro run-of-river,34.865,34.979,-0.33,971.03
DE,2020,1,Hydro reservoir,40.047,34.979,14.49,92.17
DE,2020,1,Hydro pumped (production),34.405,34.979,-1.64,911.22
DE,2020,1,Onshore wind,31.072,34.979,-11.17,12695.59
DE,2020,1,Offshore wind,33.74,34.979,-3.54,3285.79
DE,2020,1,Solar,38.316,34.979,9.54,1085.95
DE,2020,1,Marine,,34.979,,0.0
DE,2020,1,Other renewable,35.102,34.979,0.35,140.93
DE,2020,1,Other,35.272,34.979,0.84,332.69
DE,2020,2,Nuclear,23.247,21.912,6.09,5164.97
DE,2020,2,Lignite,27.372,21.912,24.92,5044.44
DE,2020,2,Hard coal,27.932,21.912,27.48,2356.75
DE,2020,2,Gas,27.524,21.912,25.61,4750.56
DE,2020,2,Oil & other fossil,22.063,21.912,0.69,306.37
DE,2020,2,Biomass,22.144,21.912,1.06,3347.1
DE,2020,2,Waste,22.214,21.912,1.38,425.16
DE,2020,2,Geothermal,22.575,21.912,3.03,18.53
DE,2020,2,Hydro run-of-river,22.637,21.912,3.31,1187.19
DE,2020,2,Hydro reservoir,26.345,21.912,20.23,73.44
DE,2020,2,Hydro pumped (production),22.019,21.912,0.49,921.01
DE,2020,2,Onshore wind,17.557,21.912,-19.88,17239.48
DE,2020,2,Offshore wind,20.267,21.912,-7.51,2994.6
DE,2020,2,Solar,23.195,21.912,5.86,1684.36
DE,2020,2,Marine,,21.912,,0.0
DE,2020,2,Other renewable,23.339,21.912,6.51,126.68
DE,2020,2,Other,24.131,21.912,10.13,277.15
DE,2020,3,Nuclear,23.514,22.519,4.42,5406.87
DE,2020,3,Lignite,26.281,22.519,16.7,6168.52
DE,2020,3,Hard coal,28.656,22.519,27.25,2721.72
DE,2020,3,Gas,26.753,22.519,18.8,4922.19
DE,2020,3,Oil & other fossil,22.581,22.519,0.28,320.72
DE,2020,3,Biomass,22.661,22.519,0.63,3538.94
DE,2020,3,Waste,22.439,22.519,-0.36,506.13
DE,2020,3,Geothermal,22.215,22.519,-1.35,19.63
DE,2020,3,Hydro run-of-river,22.767,22.519,1.1,1221.38
DE,2020,3,Hydro reservoir,25.28,22.519,12.26,75.69
DE,2020,3,Hydro pumped (production),22.312,22.519,-0.92,985.39
DE,2020,3,Onshore wind,18.444,22.519,-18.1,11538.07
DE,2020,3,Offshore wind,19.475,22.519,-13.52,2629.55
DE,2020,3,Solar,16.21,22.519,-28.02,4132.25
DE,2020,3,Marine,,22.519,,0.0
DE,2020,3,Other renewable,23.44,22.519,4.09,135.27
DE,2020,3,Other,23.874,22.519,6.01,308.6
DE,2020,4,Nuclear,17.897,17.049,4.97,4725.13
DE,2020,4,Lignite,20.443,17.049,19.91,4300.66
DE,2020,4,Hard coal,18.158,17.049,6.5,1321.0
DE,2020,4,Gas,20.681,17.049,21.3,3829.83
DE,2020,4,Oil & other fossil,17.105,17.049,0.33,290.09
DE,2020,4,Biomass,17.238,17.049,1.11,3353.66
DE,2020,4,Waste,17.895,17.049,4.96,518.87
DE,2020,4,Geothermal,17.319,17.049,1.58,13.94
DE,2020,4,Hydro run-of-river,17.518,17.049,2.75,1058.64
DE,2020,4,Hydro reservoir,19.373,17.049,13.63,83.89
DE,2020,4,Hydro pumped (production),16.338,17.049,-4.17,1020.31
DE,2020,4,Onshore wind,11.162,17.049,-34.53,7013.24
DE,2020,4,Offshore wind,13.201,17.049,-22.57,1832.1
DE,2020,4,Solar,8.953,17.049,-47.49,6404.54
DE,2020,4,Marine,,17.049,,0.0
DE,2020,4,Other renewable,17.479,17.049,2.52,115.61
DE,2020,4,Other,17.983,17.049,5.48,241.64
DE,2020,5,Nuclear,17.815,17.605,1.19,4288.3
DE,2020,5,Lignite,20.72,17.605,17.69,4310.42
DE,2020,5,Hard coal,18.053,17.605,2.54,1584.16
DE,2020,5,Gas,21.269,17.605,20.81,4505.19
DE,2020,5,Oil & other fossil,17.657,17.605,0.3,292.96
DE,2020,5,Biomass,17.704,17.605,0.56,3468.83
DE,2020,5,Waste,18.809,17.605,6.84,570.6
DE,2020,5,Geothermal,17.769,17.605,0.93,16.77
DE,2020,5,Hydro run-of-river,18.072,17.605,2.65,1324.74
DE,2020,5,Hydro reservoir,21.102,17.605,19.86,101.27
DE,2020,5,Hydro pumped (production),17.64,17.605,0.2,958.81
DE,2020,5,Onshore wind,13.082,17.605,-25.69,6121.76
DE,2020,5,Offshore wind,14.185,17.605,-19.43,1570.76
DE,2020,5,Solar,14.113,17.605,-19.84,6251.14
DE,2020,5,Marine,,17.605,,0.0
DE,2020,5,Other renewable,18.012,17.605,2.31,114.35
DE,2020,5,Other,18.772,17.605,6.63,250.51
DE,2020,6,Nuclear,26.117,26.229,-0.43,4654.4
DE,2020,6,Lignite,29.71,26.229,13.27,5890.31
DE,2020,6,Hard coal,28.657,26.229,9.26,1441.08
DE,2020,6,Gas,28.955,26.229,10.39,5600.28
DE,2020,6,Oil & other fossil,26.343,26.229,0.44,278.86
DE,2020,6,Biomass,26.297,26.229,0.26,3187.3
DE,2020,6,Waste,26.237,26.229,0.03,311.4
DE,2020,6,Geothermal,26.292,26.229,0.24,15.18
DE,2020,6,Hydro run-of-river,26.58,26.229,1.34,1407.4
