month,GB_Nuclear,GB_Lignite,GB_Hard coal,GB_Gas,GB_Oil & other fossil,GB_Biomass,GB_Waste,GB_Geothermal,GB_Hydro run-of-river,GB_Hydro reservoir,GB_Hydro pumped (production),GB_Onshore wind,GB_Offshore wind,GB_Solar,GB_Marine,GB_Other renewable,GB_Other
2019-01,68.22,,79.42,72.54,,72.23,,,72.24,,83.65,63.86,64.86,70.78,,,69.18
2019-02,56.27,,62.36,58.4,,56.59,,,58.11,,64.11,54.43,53.74,53.26,,,56.15
2019-03,50.82,,54.8,53.26,,51.0,,,52.38,,59.2,50.01,50.14,47.5,,,51.56
2019-04,50.14,,53.64,51.92,,50.82,,,53.13,,61.54,49.52,49.22,48.53,,,50.58
2019-05,46.74,,48.64,49.3,,46.22,,,49.96,,57.22,44.78,44.14,45.34,,,50.06
2019-06,43.99,,50.67,46.62,47.73,44.04,,,47.88,,56.37,42.82,42.79,43.38,,,45.17
2019-07,45.39,,49.38,47.18,,45.32,,,48.84,,55.51,44.95,43.99,46.73,,,45.82
2019-08,40.51,,43.49,43.95,,41.03,,,42.8,,49.51,37.91,37.8,40.7,,,41.11
2019-09,37.95,,40.67,41.73,,37.83,,,39.48,,49.18,35.68,35.31,38.2,,,38.19
2019-10,41.21,,45.12,44.7,,41.38,,,42.9,,52.27,39.78,39.38,40.97,,,41.85
2019-11,50.83,,55.08,54.18,,51.15,,,53.54,,63.76,49.48,50.01,51.37,,,52.32
2019-12,43.63,,48.76,49.03,,44.43,,,45.26,,56.11,42.5,41.79,45.29,,,44.83
2020-01,40.86,,43.6,45.71,,41.71,,,42.39,,53.84,39.93,38.76,43.34,,,42.27
2020-02,35.09,,37.73,39.55,,36.62,,,36.4,,46.3,34.4,34.24,36.28,,,36.21
2020-03,32.12,,40.56,36.78,,33.8,,,33.7,,48.12,29.5,29.51,29.25,,,33.2
2020-04,26.18,,31.56,29.37,,27.65,,,29.47,,35.49,23.56,22.03,22.48,,,27.34
2020-05,24.82,,,27.88,,27.11,,,27.45,,32.44,20.19,17.79,23.23,,,25.75
2020-06,28.37,,32.8,32.05,,30.63,,,31.47,,35.72,24.78,22.86,28.65,,,30.38
2020-07,30.67,,,33.19,,31.85,,,33.02,,39.71,29.42,27.39,31.41,,,32.26
2020-08,38.86,,49.85,41.3,,39.12,,,40.71,,48.76,37.32,37.35,40.03,,,40.9
2020-09,47.48,,81.66,52.63,,47.68,,,54.4,,75.22,43.71,41.82,46.84,,,52.95
2020-10,45.66,,54.0,50.25,,47.38,,,48.22,,59.88,44.4,43.58,47.86,,,48.85
2020-11,46.72,,55.64,51.73,,48.38,,,48.88,,64.26,43.92,42.11,48.26,,,51.14
2020-12,59.63,,74.98,68.9,,62.38,,,63.2,,90.72,54.11,54.31,66.41,,,69.33
2021-01,79.73,,97.78,89.61,,83.18,,,93.92,,150.66,71.35,72.12,77.5,,,97.71
2021-02,65.51,,77.4,73.46,,66.94,,,66.2,,96.92,61.81,61.28,67.15,,,73.83
2021-03,62.85,,93.35,71.21,,64.61,,,68.89,,102.31,56.05,56.28,59.22,,,73.8
2021-04,77.7,,104.02,82.41,,80.66,,,79.8,,109.06,68.07,69.91,72.78,,,84.77
2021-05,84.79,,97.82,89.31,,86.42,,,91.47,,101.92,77.9,78.13,86.43,,,90.06
2021-06,90.82,,104.83,94.24,,91.1,,,97.13,,108.34,89.52,90.89,90.62,,,98.84
2021-07,109.65,,116.28,113.26,,111.2,,,117.55,,132.19,105.17,103.58,111.92,,,116.25
2021-08,124.88,,128.57,129.22,,124.61,,,132.46,,146.27,123.13,122.2,128.24,,,133.12
2021-09,200.44,,242.12,217.71,,191.99,,,237.93,,324.9,175.42,186.63,209.08,,,254.16
2021-10,191.09,,250.73,214.82,,196.88,,,204.03,,258.03,187.0,184.82,195.72,,,222.89
2021-11,215.59,,253.49,241.24,,222.12,,,228.75,,330.12,206.74,199.92,211.8,,,267.55
2021-12,264.67,,326.11,307.26,,272.39,,,285.5,,334.22,230.25,235.08,277.52,,,321.5
2022-01,211.26,,310.42,260.57,,236.98,,,253.98,,321.14,192.82,179.7,227.94,,,295.45
2022-02,187.23,,204.02,202.66,,193.07,,,195.87,,235.81,185.52,184.17,187.73,,,201.96
2022-03,285.75,,317.39,297.68,,301.22,,,309.43,,345.97,280.52,281.86,258.33,,,306.58
2022-04,208.02,,264.28,216.47,,215.48,,,219.25,,239.05,200.84,208.34,197.92,,,218.91
2022-05,143.9,,212.74,152.3,,152.23,,,151.91,,183.68,123.28,125.85,136.53,,,165.65
2022-06,170.31,,267.07,187.22,,177.62,,,192.76,,228.33,151.02,144.12,173.7,,,198.71
2022-07,274.63,,316.49,285.26,,285.42,,,311.7,,360.9,264.61,262.16,268.09,,,321.05
2022-08,414.66,,499.44,430.4,,437.6,,,443.12,,509.44,371.19,397.28,389.97,,,481.29
2022-09,306.35,,331.93,317.97,,311.69,,,333.81,,383.36,290.42,282.29,312.82,,,347.85
2022-10,137.78,,217.56,148.94,,159.27,,,145.05,,187.98,131.89,124.17,124.51,,,166.54
2022-11,150.08,,255.38,179.99,,161.92,,,164.95,,207.11,134.08,128.71,158.3,,,202.02
2022-12,,,,,,,,,,,,227.57,226.7,349.81,,,
2023-01,164.53,,174.05,181.38,,171.66,,,171.39,,197.91,137.76,135.13,167.89,,,186.68
2023-02,154.85,,170.25,163.07,,154.47,,,161.2,,179.41,147.94,142.05,149.39,,,167.77
2023-03,134.69,,166.29,150.14,,140.92,,,142.54,,166.14,124.68,126.19,121.54,,,154.72
2023-04,112.47,,132.93,122.35,,115.54,,,124.16,,134.72,106.22,107.88,105.21,,,123.06
2023-05,86.57,,,94.52,,92.37,,,99.53,,109.11,88.5,88.63,81.18,,,95.76
