hour_utc,GB_2019,GB_2020,GB_2021,GB_2022,GB_2023,GB_2024,GB_2025,GB_2026,GB_2027,GB_2028,GB_2029,GB_2030,GB_2031,GB_2032,GB_2033,GB_2034,GB_2035
0,0.8437,0.7668,0.804,0.8437,0.8444,0.8358,0.8825,0.9608,,,,,,,,,
1,0.8225,0.7617,0.7919,0.8257,0.8179,0.7971,0.8571,0.9494,,,,,,,,,
2,0.7974,0.7102,0.7557,0.7906,0.7754,0.7589,0.8327,0.927,,,,,,,,,
3,0.7798,0.6839,0.739,0.7841,0.7738,0.7618,0.824,0.9278,,,,,,,,,
4,0.8209,0.7323,0.7748,0.8128,0.8208,0.8037,0.8583,0.9767,,,,,,,,,
5,0.8888,0.8329,0.8566,0.9081,0.9437,0.9096,0.9542,1.0228,,,,,,,,,
6,0.9912,0.9376,0.9453,1.0415,1.0449,1.0343,1.0479,1.0423,,,,,,,,,
7,1.0735,1.0279,1.0453,1.0992,1.0812,1.0919,1.0944,1.0277,,,,,,,,,
8,1.0805,1.063,1.0588,1.0776,1.0689,1.0751,1.0419,0.9585,,,,,,,,,
9,1.0602,1.0818,1.0586,1.0524,1.0458,1.0432,0.9854,0.9053,,,,,,,,,
10,1.008,1.0392,1.0282,0.9978,0.999,0.9881,0.9064,0.8375,,,,,,,,,
11,0.9844,1.027,1.0169,0.9729,0.9621,0.9633,0.864,0.8011,,,,,,,,,
12,0.968,1.0051,0.9964,0.9555,0.9307,0.9325,0.8393,0.7757,,,,,,,,,
13,0.9606,0.9681,0.9868,0.9521,0.9204,0.9249,0.8502,0.7769,,,,,,,,,
14,0.9825,0.9832,1.0104,0.976,0.9567,0.9587,0.9014,0.8319,,,,,,,,,
15,1.0693,1.0919,1.1253,1.0612,1.028,1.0618,1.0155,0.9334,,,,,,,,,
16,1.185,1.2941,1.2828,1.2001,1.1794,1.2285,1.2045,1.1153,,,,,,,,,
17,1.2775,1.4606,1.4885,1.2846,1.2881,1.325,1.3414,1.2516,,,,,,,,,
18,1.2799,1.3896,1.3794,1.2762,1.3075,1.3217,1.3713,1.3246,,,,,,,,,
19,1.1719,1.2302,1.1653,1.1759,1.2173,1.2175,1.2525,1.2906,,,,,,,,,
20,1.0919,1.1243,1.0385,1.097,1.1309,1.1284,1.1445,1.2158,,,,,,,,,
21,1.0143,1.038,0.9507,1.0152,1.0514,1.0351,1.0572,1.1313,,,,,,,,,
22,0.9565,0.9448,0.8866,0.9368,0.9456,0.9401,0.9673,1.0342,,,,,,,,,
23,0.8795,0.8015,0.8081,0.8594,0.8655,0.863,0.9053,0.9808,,,,,,,,,
