technology,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035,ES_2019,ES_2020,ES_2021,ES_2022,ES_2023,ES_2024,ES_2025,ES_2026,ES_2027,ES_2028,ES_2029,ES_2030,ES_2031,ES_2032,ES_2033,ES_2034,ES_2035,PT_2019,PT_2020,PT_2021,PT_2022,PT_2023,PT_2024,PT_2025,PT_2026,PT_2027,PT_2028,PT_2029,PT_2030,PT_2031,PT_2032,PT_2033,PT_2034,PT_2035,FR_2019,FR_2020,FR_2021,FR_2022,FR_2023,FR_2024,FR_2025,FR_2026,FR_2027,FR_2028,FR_2029,FR_2030,FR_2031,FR_2032,FR_2033,FR_2034,FR_2035,IT_2019,IT_2020,IT_2021,IT_2022,IT_2023,IT_2024,IT_2025,IT_2026,IT_2027,IT_2028,IT_2029,IT_2030,IT_2031,IT_2032,IT_2033,IT_2034,IT_2035
Nuclear,1.88,2.99,1.1,1.69,19.29,,,,,,,,,,,,,0.59,2.55,-2.69,0.35,1.46,3.52,6.02,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,2.41,1.09,-2.89,2.89,6.9,8.17,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Lignite,8.6,17.39,10.31,6.6,15.59,16.3,16.68,15.31,,,,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard coal,19.03,29.81,29.5,15.27,22.52,20.64,25.12,17.66,,,,,,,,,,13.18,5.31,21.69,4.67,8.34,7.79,16.5,28.06,,,,,,,,,,15.46,29.58,-3.18,,,,,,,,,,,,,,,41.29,49.15,34.31,2.95,48.34,63.0,84.75,68.06,,,,,,,,,,5.95,5.35,14.33,2.24,8.63,0.25,1.84,3.07,,,,,,,,,
Gas,10.46,16.74,10.99,9.13,15.38,20.94,23.59,15.98,,,,,,,,,,3.19,8.21,19.73,4.11,16.67,32.97,23.68,36.05,,,,,,,,,,4.56,13.21,14.65,6.63,23.35,29.24,9.66,-1.4,,,,,,,,,,14.88,18.51,23.49,4.4,24.73,42.51,57.27,51.0,,,,,,,,,,5.91,10.27,11.72,6.62,6.8,9.71,9.11,8.75,,,,,,,,,
Oil & other fossil,1.26,1.83,-0.77,1.61,0.36,1.86,3.92,2.31,,,,,,,,,,2.71,1.65,5.72,10.37,13.39,6.34,14.96,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,7.03,13.95,8.27,10.79,7.07,23.86,42.85,,,,,,,,,,2.94,11.56,25.18,8.03,18.9,13.96,-1.27,5.44,,,,,,,,,
Biomass,0.47,0.27,1.01,0.08,1.97,2.51,3.94,2.99,,,,,,,,,,0.37,1.58,4.14,3.19,7.27,4.01,4.68,8.81,,,,,,,,,,-1.15,0.32,0.11,1.46,0.5,-2.24,0.61,1.18,,,,,,,,,,-0.66,0.23,0.06,-2.22,1.12,-0.1,4.37,-3.15,,,,,,,,,,-0.62,0.06,0.63,0.54,1.34,-0.11,-1.07,1.11,,,,,,,,,
Waste,0.07,1.02,2.01,-0.38,0.13,0.45,1.15,1.15,,,,,,,,,,0.63,1.76,-0.11,3.33,2.91,4.37,6.04,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,1.69,0.42,-1.18,2.09,4.83,-1.56,-0.51,,,,,,,,,,0.49,0.79,-3.5,1.78,-6.6,-0.45,-1.65,2.57,,,,,,,,,
Geothermal,0.45,0.36,4.76,-3.8,1.59,2.11,3.96,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,-0.14,-0.23,-0.41,0.02,-2.57,-3.13,-0.68,,,,,,,,,
Hydro run-of-river,-0.23,-0.51,-6.69,0.45,-1.62,-0.48,1.06,1.1,,,,,,,,,,-0.49,-3.04,-13.44,2.69,-2.34,-5.67,1.06,0.34,,,,,,,,,,1.09,6.86,-23.11,4.47,6.25,-1.33,15.66,18.85,,,,,,,,,,1.7,-1.79,-8.78,-4.8,1.66,0.93,10.35,4.12,,,,,,,,,,2.01,2.6,-3.5,6.61,-1.3,2.21,0.49,2.92,,,,,,,,,
Hydro reservoir,11.71,18.58,11.18,20.16,16.6,28.44,27.45,32.26,,,,,,,,,,1.63,9.28,-11.12,10.05,6.79,4.2,20.57,19.78,,,,,,,,,,0.92,15.14,-6.24,-7.7,2.03,-3.17,25.67,27.9,,,,,,,,,,13.7,8.43,-2.24,13.48,14.59,19.13,38.46,30.64,,,,,,,,,,6.68,10.6,-3.11,16.04,3.31,6.32,8.5,11.39,,,,,,,,,
Hydro pumped (production),24.06,-0.24,28.48,27.07,31.97,44.68,45.52,49.72,,,,,,,,,,,,,-47.09,22.47,27.55,41.91,62.26,,,,,,,,,,3.89,15.08,8.18,9.31,13.55,21.55,42.32,44.21,,,,,,,,,,26.39,28.06,32.5,20.33,29.25,48.57,45.9,50.96,,,,,,,,,,17.04,28.3,16.54,24.4,12.6,14.81,18.29,21.69,,,,,,,,,
Onshore wind,-14.2,-19.34,-16.64,-28.51,-17.43,-17.78,-13.4,-11.16,,,,,,,,,,-4.25,-4.64,-7.28,-4.17,-12.51,-12.01,-3.21,-8.28,,,,,,,,,,-5.91,-5.0,-1.64,-5.54,-13.08,-12.95,-8.34,-17.25,,,,,,,,,,-5.4,-6.38,-6.07,-15.16,-10.87,-9.93,-10.35,-7.14,,,,,,,,,,-1.1,-3.55,1.42,-6.31,-0.49,-4.48,-1.76,-1.98,,,,,,,,,
Offshore wind,-7.74,-8.62,-4.65,-17.4,-9.06,-9.05,-4.24,-4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52,27.21,-6.35,-7.71,-10.99,-5.42,-15.59,,,,,,,,,,,,,,-25.22,-7.88,-10.46,-5.79,,,,,,,,,,,,,15.71,-0.1,-6.15,-3.15,-3.22,,,,,,,,,
Solar,-7.33,-19.56,-22.09,-5.59,-24.16,-41.12,-48.44,-49.34,,,,,,,,,,1.89,-3.13,-8.53,-9.92,-16.44,-32.74,-44.59,-51.34,,,,,,,,,,1.86,-2.22,-4.04,-10.08,-17.28,-32.7,-46.6,-53.5,,,,,,,,,,-4.29,-7.28,-13.64,5.67,-13.69,-32.35,-40.95,-50.28,,,,,,,,,,-3.14,-11.06,-13.22,1.2,-12.83,-11.13,-17.07,-19.23,,,,,,,,,
Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other renewable,1.6,2.2,4.14,-2.15,4.08,0.89,1.71,0.18,,,,,,,,,,0.64,0.66,1.14,2.62,1.54,1.86,4.39,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.81,24.01,,,,,,,,,,
Other,2.92,4.22,3.51,-0.42,5.27,6.27,7.22,4.6,,,,,,,,,,1.12,0.43,-0.04,-0.66,2.82,19.33,3.68,16.55,,,,,,,,,,3.01,0.45,-1.86,-0.18,2.52,0.4,3.31,-0.58,,,,,,,,,,,,,,,,-9.41,28.65,,,,,,,,,,3.54,4.59,3.11,2.17,4.68,3.09,3.05,2.96,,,,,,,,,
