doy,DE_2019_min,DE_2020_min,DE_2021_min,DE_2022_min,DE_2023_min,DE_2024_min,DE_2025_min,DE_2026_min,DE_2027_min,DE_2028_min,DE_2029_min,DE_2030_min,DE_2031_min,DE_2032_min,DE_2033_min,DE_2034_min,DE_2035_min,ES_2019_min,ES_2020_min,ES_2021_min,ES_2022_min,ES_2023_min,ES_2024_min,ES_2025_min,ES_2026_min,ES_2027_min,ES_2028_min,ES_2029_min,ES_2030_min,ES_2031_min,ES_2032_min,ES_2033_min,ES_2034_min,ES_2035_min,PT_2019_min,PT_2020_min,PT_2021_min,PT_2022_min,PT_2023_min,PT_2024_min,PT_2025_min,PT_2026_min,PT_2027_min,PT_2028_min,PT_2029_min,PT_2030_min,PT_2031_min,PT_2032_min,PT_2033_min,PT_2034_min,PT_2035_min,FR_2019_min,FR_2020_min,FR_2021_min,FR_2022_min,FR_2023_min,FR_2024_min,FR_2025_min,FR_2026_min,FR_2027_min,FR_2028_min,FR_2029_min,FR_2030_min,FR_2031_min,FR_2032_min,FR_2033_min,FR_2034_min,FR_2035_min,IT_2019_min,IT_2020_min,IT_2021_min,IT_2022_min,IT_2023_min,IT_2024_min,IT_2025_min,IT_2026_min,IT_2027_min,IT_2028_min,IT_2029_min,IT_2030_min,IT_2031_min,IT_2032_min,IT_2033_min,IT_2034_min,IT_2035_min,DE_2019_max,DE_2020_max,DE_2021_max,DE_2022_max,DE_2023_max,DE_2024_max,DE_2025_max,DE_2026_max,DE_2027_max,DE_2028_max,DE_2029_max,DE_2030_max,DE_2031_max,DE_2032_max,DE_2033_max,DE_2034_max,DE_2035_max,ES_2019_max,ES_2020_max,ES_2021_max,ES_2022_max,ES_2023_max,ES_2024_max,ES_2025_max,ES_2026_max,ES_2027_max,ES_2028_max,ES_2029_max,ES_2030_max,ES_2031_max,ES_2032_max,ES_2033_max,ES_2034_max,ES_2035_max,PT_2019_max,PT_2020_max,PT_2021_max,PT_2022_max,PT_2023_max,PT_2024_max,PT_2025_max,PT_2026_max,PT_2027_max,PT_2028_max,PT_2029_max,PT_2030_max,PT_2031_max,PT_2032_max,PT_2033_max,PT_2034_max,PT_2035_max,FR_2019_max,FR_2020_max,FR_2021_max,FR_2022_max,FR_2023_max,FR_2024_max,FR_2025_max,FR_2026_max,FR_2027_max,FR_2028_max,FR_2029_max,FR_2030_max,FR_2031_max,FR_2032_max,FR_2033_max,FR_2034_max,FR_2035_max,IT_2019_max,IT_2020_max,IT_2021_max,IT_2022_max,IT_2023_max,IT_2024_max,IT_2025_max,IT_2026_max,IT_2027_max,IT_2028_max,IT_2029_max,IT_2030_max,IT_2031_max,IT_2032_max,IT_2033_max,IT_2034_max,IT_2035_max,DE_2019_mean,DE_2020_mean,DE_2021_mean,DE_2022_mean,DE_2023_mean,DE_2024_mean,DE_2025_mean,DE_2026_mean,DE_2027_mean,DE_2028_mean,DE_2029_mean,DE_2030_mean,DE_2031_mean,DE_2032_mean,DE_2033_mean,DE_2034_mean,DE_2035_mean,ES_2019_mean,ES_2020_mean,ES_2021_mean,ES_2022_mean,ES_2023_mean,ES_2024_mean,ES_2025_mean,ES_2026_mean,ES_2027_mean,ES_2028_mean,ES_2029_mean,ES_2030_mean,ES_2031_mean,ES_2032_mean,ES_2033_mean,ES_2034_mean,ES_2035_mean,PT_2019_mean,PT_2020_mean,PT_2021_mean,PT_2022_mean,PT_2023_mean,PT_2024_mean,PT_2025_mean,PT_2026_mean,PT_2027_mean,PT_2028_mean,PT_2029_mean,PT_2030_mean,PT_2031_mean,PT_2032_mean,PT_2033_mean,PT_2034_mean,PT_2035_mean,FR_2019_mean,FR_2020_mean,FR_2021_mean,FR_2022_mean,FR_2023_mean,FR_2024_mean,FR_2025_mean,FR_2026_mean,FR_2027_mean,FR_2028_mean,FR_2029_mean,FR_2030_mean,FR_2031_mean,FR_2032_mean,FR_2033_mean,FR_2034_mean,FR_2035_mean,IT_2019_mean,IT_2020_mean,IT_2021_mean,IT_2022_mean,IT_2023_mean,IT_2024_mean,IT_2025_mean,IT_2026_mean,IT_2027_mean,IT_2028_mean,IT_2029_mean,IT_2030_mean,IT_2031_mean,IT_2032_mean,IT_2033_mean,IT_2034_mean,IT_2035_mean
1,-33.57,30.0,39.63,37.67,-5.4,-0.05,-1.01,-0.01,,,,,,,,,,55.47,30.0,35.5,70.05,0.0,1.73,10.68,52.8,,,,,,,,,,55.47,30.0,35.5,70.05,0.0,1.73,20.59,52.8,,,,,,,,,,20.9,30.0,39.63,37.67,-4.37,-0.04,5.9,20.68,,,,,,,,,,20.0,30.0,39.63,67.99,165.89,85.0,116.68,92.76,,,,,,,,,,10.07,44.05,60.61,149.97,57.91,58.0,10.05,42.4,,,,,,,,,,68.07,46.16,57.4,190.81,61.38,60.9,152.99,106.78,,,,,,,,,,68.07,46.16,57.4,190.81,61.38,60.9,152.99,106.78,,,,,,,,,,65.56,46.16,60.61,149.97,61.38,54.97,50.14,82.33,,,,,,,,,,66.25,48.99,60.61,214.66,243.42,132.0,174.0,120.41,,,,,,,,,,-6.88,34.69,48.22,82.87,17.54,17.45,0.97,7.73,,,,,,,,,,63.24,35.27,42.34,122.1,9.26,35.18,101.04,80.68,,,,,,,,,,63.24,35.27,42.34,122.1,9.26,36.7,103.73,80.68,,,,,,,,,,41.33,34.94,48.22,85.75,17.47,13.94,23.74,46.67,,,,,,,,,,44.19,35.53,47.99,149.9,192.78,105.65,140.41,106.14,,,,,,,,,
2,-48.93,21.47,37.55,0.31,44.09,-0.08,1.56,0.24,,,,,,,,,,45.24,28.42,37.55,103.7,42.0,3.99,99.82,55.01,,,,,,,,,,51.09,28.42,37.55,109.8,42.0,6.8,101.88,55.01,,,,,,,,,,25.84,28.42,37.55,2.71,42.75,0.01,40.15,17.31,,,,,,,,,,36.0,28.79,30.55,100.0,170.77,82.5,115.78,90.0,,,,,,,,,,62.11,46.72,63.08,70.09,174.74,83.46,152.94,89.15,,,,,,,,,,69.3,46.72,60.43,209.1,174.74,62.45,161.1,107.0,,,,,,,,,,69.3,46.72,60.43,209.1,174.74,62.45,161.1,107.0,,,,,,,,,,69.3,46.72,63.08,70.09,174.74,62.45,153.4,103.6,,,,,,,,,,74.6,61.96,65.72,245.0,262.0,130.0,170.0,120.9,,,,,,,,,,29.1,38.29,50.54,44.99,126.82,51.8,96.95,57.63,,,,,,,,,,60.55,39.85,48.7,138.98,115.41,39.62,133.37,82.93,,,,,,,,,,61.6,39.85,48.7,139.76,112.94,40.49,133.72,82.93,,,,,,,,,,54.02,39.32,50.54,46.85,127.44,35.43,110.35,70.27,,,,,,,,,,58.81,45.77,51.23,166.21,201.34,106.34,138.76,104.85,,,,,,,,,
3,43.88,0.14,27.39,-1.05,80.89,-1.38,69.94,73.02,,,,,,,,,,50.2,29.74,35.5,100.36,113.63,2.21,88.46,73.94,,,,,,,,,,50.2,29.74,37.45,100.36,113.63,2.21,90.01,73.94,,,,,,,,,,43.88,22.56,35.5,0.06,82.03,-0.05,84.06,73.94,,,,,,,,,,40.42,28.5,35.5,83.27,113.63,40.0,97.0,89.94,,,,,,,,,,69.55,41.35,52.56,148.49,171.18,82.97,116.66,110.82,,,,,,,,,,71.1,47.23,61.09,189.26,171.18,113.26,151.25,108.09,,,,,,,,,,71.1,47.23,61.09,189.26,169.01,113.26,151.25,108.09,,,,,,,,,,73.43,45.2,61.09,180.36,171.23,85.07,144.48,110.91,,,,,,,,,,74.53,58.13,62.86,305.47,200.38,115.81,152.0,121.2,,,,,,,,,,58.04,26.17,37.92,80.42,143.91,47.61,89.56,89.03,,,,,,,,,,64.23,39.76,47.1,148.16,138.37,58.57,121.82,88.74,,,,,,,,,,64.18,39.76,47.33,148.16,136.44,59.42,122.08,88.74,,,,,,,,,,61.6,36.95,47.27,97.24,144.05,48.44,115.91,89.35,,,,,,,,,,60.06,44.17,47.93,194.66,172.69,93.62,127.2,104.22,,,,,,,,,
4,26.9,0.07,24.65,97.56,0.05,25.48,90.2,82.56,,,,,,,,,,54.85,29.84,41.62,105.0,80.23,66.86,82.27,50.43,,,,,,,,,,54.85,29.84,41.62,105.0,80.23,66.86,82.27,50.43,,,,,,,,,,47.0,26.24,41.62,105.0,8.56,25.48,94.33,82.56,,,,,,,,,,47.0,34.04,41.62,105.0,100.0,35.2,122.36,91.49,,,,,,,,,,55.78,39.75,66.82,190.0,86.16,144.65,151.24,121.18,,,,,,,,,,71.94,44.44,72.6,190.0,167.29,105.18,145.0,97.68,,,,,,,,,,71.94,44.44,72.6,190.0,167.29,105.18,145.0,97.68,,,,,,,,,,77.23,44.24,72.6,190.0,167.29,102.57,145.0,121.18,,,,,,,,,,80.91,59.77,72.01,202.84,217.72,118.1,182.84,123.0,,,,,,,,,,48.92,20.75,48.36,153.98,55.57,86.61,121.77,94.59,,,,,,,,,,67.02,35.47,60.45,151.92,114.22,91.18,111.27,66.8,,,,,,,,,,67.02,35.5,60.45,152.78,114.22,91.18,111.27,66.8,,,,,,,,,,65.6,34.26,59.46,156.07,97.02,80.18,121.44,94.21,,,,,,,,,,67.97,44.44,59.3,165.77,172.84,91.64,147.66,107.01,,,,,,,,,
5,18.37,29.16,39.65,75.38,0.07,73.21,27.52,86.31,,,,,,,,,,58.31,29.88,50.56,75.38,61.97,30.55,13.28,61.93,,,,,,,,,,58.31,29.88,50.56,79.11,61.97,37.83,13.28,61.93,,,,,,,,,,52.57,29.16,44.58,75.38,27.68,61.1,13.28,86.31,,,,,,,,,,53.5,29.16,44.58,75.38,100.0,78.5,130.05,101.42,,,,,,,,,,61.64,46.16,67.14,148.09,194.7,108.45,100.33,223.42,,,,,,,,,,69.5,53.29,80.0,250.34,177.98,90.88,70.5,123.68,,,,,,,,,,69.5,53.29,80.0,250.34,177.98,90.88,70.5,123.68,,,,,,,,,,69.12,46.16,80.0,265.0,194.67,108.76,70.5,213.58,,,,,,,,,,82.53,46.16,68.32,265.0,249.99,120.4,166.0,148.69,,,,,,,,,,43.16,35.39,55.62,107.64,111.92,91.21,68.64,134.92,,,,,,,,,,65.0,38.79,67.73,183.83,109.69,67.22,47.76,95.95,,,,,,,,,,65.0,38.79,67.73,184.09,109.02,67.52,47.76,95.95,,,,,,,,,,62.22,35.88,63.81,189.18,128.44,90.38,44.26,128.72,,,,,,,,,,67.82,37.44,59.24,195.23,183.72,104.53,142.99,122.59,,,,,,,,,
6,44.23,27.03,42.15,101.32,81.93,73.01,9.2,92.82,,,,,,,,,,47.17,31.5,53.51,170.1,53.42,3.2,3.52,0.0,,,,,,,,,,50.2,31.5,53.51,170.1,53.42,3.2,3.52,1.51,,,,,,,,,,47.17,27.03,47.2,170.1,75.75,73.01,3.52,95.58,,,,,,,,,,47.17,27.03,47.2,170.1,135.45,88.5,110.42,100.75,,,,,,,,,,67.37,48.91,61.92,274.11,163.5,104.27,41.37,168.82,,,,,,,,,,68.0,49.01,90.0,278.36,137.73,92.14,117.78,117.9,,,,,,,,,,68.0,49.01,90.0,278.36,137.73,92.14,117.78,117.9,,,,,,,,,,67.37,49.01,101.07,278.36,163.5,104.3,88.34,168.82,,,,,,,,,,75.19,52.82,69.55,278.36,249.0,116.97,155.0,132.62,,,,,,,,,,54.37,38.2,52.96,195.31,117.05,88.8,24.81,126.98,,,,,,,,,,58.94,41.92,70.93,213.24,101.9,45.29,47.54,62.69,,,,,,,,,,59.4,41.92,70.93,213.24,101.9,45.29,51.03,62.87,,,,,,,,,,55.5,39.32,71.13,226.03,121.08,87.62,35.76,127.02,,,,,,,,,,58.91,40.35,58.37,225.96,174.37,100.71,136.34,114.82,,,,,,,,,
7,1.84,18.95,46.72,101.91,10.93,71.86,5.01,80.78,,,,,,,,,,50.5,33.01,58.0,162.8,4.16,45.57,19.2,81.96,,,,,,,,,,50.5,33.01,58.0,162.8,4.16,45.57,19.2,81.96,,,,,,,,,,46.08,28.9,49.35,162.8,13.21,71.86,0.4,81.96,,,,,,,,,,50.0,35.9,49.35,202.54,163.94,84.3,109.61,99.53,,,,,,,,,,74.93,51.12,100.0,253.81,112.0,104.85,101.11,125.19,,,,,,,,,,70.39,56.26,108.97,270.02,50.0,104.85,128.87,134.94,,,,,,,,,,70.39,54.87,108.97,270.02,50.0,104.85,128.87,134.94,,,,,,,,,,74.93,51.12,108.97,260.0,113.96,104.85,128.87,134.94,,,,,,,,,,86.49,76.29,94.72,273.7,270.32,110.53,181.27,143.1,,,,,,,,,,50.64,40.03,70.91,168.65,85.22,86.45,60.46,98.98,,,,,,,,,,63.32,47.01,89.72,218.21,21.84,76.12,83.85,101.88,,,,,,,,,,63.32,46.53,89.72,218.21,21.84,76.26,85.1,101.88,,,,,,,,,,62.54,41.84,81.29,214.73,81.95,86.44,76.48,104.89,,,,,,,,,,69.02,52.64,71.95,234.2,192.23,96.73,143.58,121.18,,,,,,,,,
8,7.78,0.1,45.61,85.03,4.16,78.48,57.01,78.96,,,,,,,,,,50.5,33.07,60.0,109.18,4.16,78.43,53.0,60.08,,,,,,,,,,50.5,33.07,60.0,109.18,4.16,78.43,53.0,60.08,,,,,,,,,,27.4,20.35,50.86,109.18,4.16,78.43,53.0,62.26,,,,,,,,,,60.06,36.65,50.86,201.0,146.0,85.28,101.25,103.66,,,,,,,,,,46.93,55.92,110.45,231.0,122.61,130.01,155.46,264.58,,,,,,,,,,70.0,55.92,114.89,237.86,40.0,133.28,135.01,107.36,,,,,,,,,,70.0,55.92,114.89,237.86,40.0,133.28,131.0,107.36,,,,,,,,,,70.0,55.92,114.89,231.0,122.61,129.99,137.58,189.0,,,,,,,,,,94.42,62.67,100.93,300.0,185.48,130.1,158.26,176.07,,,,,,,,,,34.58,34.21,78.51,162.6,71.62,102.28,105.79,153.91,,,,,,,,,,62.3,47.0,93.91,196.74,10.2,106.01,98.34,80.42,,,,,,,,,,62.79,46.91,93.93,197.61,10.2,106.52,98.15,80.83,,,,,,,,,,57.68,40.65,85.04,173.4,70.78,102.19,103.76,107.22,,,,,,,,,,76.1,48.12,75.88,234.33,164.27,108.11,132.79,128.79,,,,,,,,,
9,3.43,26.94,49.1,49.29,39.41,84.14,84.79,47.84,,,,,,,,,,49.4,33.56,50.25,14.0,4.2,92.33,13.01,6.5,,,,,,,,,,49.79,33.88,51.39,14.0,4.2,92.33,13.01,6.5,,,,,,,,,,27.83,27.81,50.25,45.82,35.94,83.63,13.01,20.0,,,,,,,,,,60.14,44.04,50.25,172.0,73.71,84.08,102.88,109.23,,,,,,,,,,55.94,47.92,71.99,243.94,182.18,137.84,164.88,93.93,,,,,,,,,,69.01,53.31,121.24,240.0,171.62,148.01,141.27,91.25,,,,,,,,,,69.01,53.31,121.24,240.0,171.62,148.01,141.27,91.25,,,,,,,,,,69.01,47.51,71.99,243.94,182.18,137.35,135.73,95.01,,,,,,,,,,85.32,77.84,72.94,269.6,195.0,137.35,160.0,147.63,,,,,,,,,,41.1,35.95,59.32,151.19,130.58,109.44,120.84,78.44,,,,,,,,,,60.8,43.69,80.32,122.87,89.99,113.55,88.98,53.96,,,,,,,,,,61.42,43.71,83.45,123.45,89.99,113.55,89.05,53.99,,,,,,,,,,58.14,36.02,60.38,153.91,127.7,106.56,86.72,71.15,,,,,,,,,,70.42,55.31,60.6,212.49,155.12,109.12,134.13,127.13,,,,,,,,,
10,47.11,25.81,37.24,178.04,5.0,86.09,69.05,66.24,,,,,,,,,,48.5,27.65,48.45,158.7,35.0,85.0,69.94,28.77,,,,,,,,,,48.5,27.65,48.45,158.7,35.0,85.0,69.94,28.77,,,,,,,,,,48.5,26.47,48.45,178.04,7.41,84.75,69.94,54.27,,,,,,,,,,53.55,40.81,48.45,178.04,79.81,91.29,105.3,101.96,,,,,,,,,,85.15,47.4,63.41,315.47,165.33,143.79,144.12,139.53,,,,,,,,,,69.75,50.85,110.29,294.98,144.74,121.4,144.28,126.26,,,,,,,,,,69.75,50.85,110.29,294.98,144.74,121.4,144.28,126.26,,,,,,,,,,85.15,49.97,73.91,315.0,181.67,143.79,144.28,126.26,,,,,,,,,,88.67,73.53,70.02,310.84,223.42,143.79,155.0,129.7,,,,,,,,,,67.73,35.14,51.76,262.14,118.92,111.94,113.34,98.56,,,,,,,,,,62.5,40.94,66.11,217.85,106.44,100.86,112.1,74.14,,,,,,,,,,62.5,40.9,70.44,217.85,106.44,100.86,112.37,74.14,,,,,,,,,,69.33,38.78,56.91,261.84,123.97,109.88,114.01,81.31,,,,,,,,,,72.0,53.08,57.15,252.22,161.18,113.0,130.41,113.64,,,,,,,,,
