date,DE,ES,PT,FR,IT
2019-01-01,49.41,61.96,62.66,61.15,67.64
2019-02-01,42.81,54.02,54.73,46.61,57.64
2019-03-01,30.61,48.84,49.22,33.85,52.86
2019-04-01,36.97,50.4,50.65,38.1,53.39
2019-05-01,37.83,48.39,48.75,37.2,50.67
2019-06-01,32.5,47.16,47.18,29.24,48.58
2019-07-01,39.71,51.46,51.46,37.69,52.32
2019-08-01,36.82,44.95,44.95,33.36,49.59
2019-09-01,35.77,42.13,42.16,35.55,51.16
2019-10-01,36.95,47.15,47.19,38.62,52.83
2019-11-01,41.0,42.19,42.12,45.95,48.17
2019-12-01,31.97,33.81,33.68,36.47,43.33
2020-01-01,34.98,41.08,40.9,37.97,47.44
2020-02-01,21.91,35.86,36.03,26.25,39.26
2020-03-01,22.52,27.74,27.85,23.83,31.97
2020-04-01,17.05,17.61,17.73,13.41,24.79
2020-05-01,17.6,21.33,21.44,14.87,21.79
2020-06-01,26.23,30.63,30.66,25.85,28.06
2020-07-01,30.07,34.62,34.62,33.42,37.99
2020-08-01,34.89,36.21,36.13,36.76,40.27
2020-09-01,43.68,41.95,41.92,47.19,48.77
2020-10-01,33.96,36.55,36.43,37.87,43.52
2020-11-01,38.8,41.96,42.11,40.14,48.75
2020-12-01,43.55,41.97,42.04,48.42,54.07
2021-01-01,52.79,60.1,60.63,59.47,60.7
2021-02-01,48.71,28.54,28.24,49.01,56.56
2021-03-01,47.18,45.48,45.42,50.23,60.41
2021-04-01,53.66,65.06,64.98,63.15,69.05
2021-05-01,53.33,67.18,67.18,55.26,69.95
2021-06-01,74.13,83.31,83.3,73.56,84.84
2021-07-01,81.29,92.37,92.55,78.31,102.7
2021-08-01,82.81,106.08,106.13,77.4,112.57
2021-09-01,128.34,156.4,156.79,135.3,158.74
2021-10-01,139.54,199.67,199.7,172.54,217.66
2021-11-01,176.25,193.72,193.79,217.24,225.99
2021-12-01,220.96,238.97,239.07,274.51,281.01
2022-01-01,167.87,201.8,201.98,211.58,224.49
2022-02-01,128.78,200.31,200.81,185.63,211.76
2022-03-01,251.76,283.19,283.09,295.17,307.97
2022-04-01,166.0,191.52,192.01,232.92,245.79
2022-05-01,177.51,187.16,187.19,197.46,230.04
2022-06-01,218.18,169.43,169.63,248.73,271.67
2022-07-01,315.26,142.68,143.83,400.95,441.77
