hour_utc,DE_2019,DE_2020,DE_2021,DE_2022,DE_2023,DE_2024,DE_2025,DE_2026,DE_2027,DE_2028,DE_2029,DE_2030,DE_2031,DE_2032,DE_2033,DE_2034,DE_2035
0,31.06,29.22,33.71,29.82,25.37,26.77,27.46,28.69,,,,,,,,,
1,30.92,29.04,33.54,29.76,25.25,26.55,27.23,28.64,,,,,,,,,
2,31.66,29.72,34.24,30.51,25.89,27.1,27.84,29.32,,,,,,,,,
3,33.53,31.49,36.03,32.27,27.61,28.69,29.58,30.84,,,,,,,,,
4,37.41,34.95,39.51,35.62,30.89,31.79,32.75,33.45,,,,,,,,,
5,41.26,38.43,42.84,38.62,33.81,34.43,35.17,34.87,,,,,,,,,
6,43.1,40.07,44.27,39.48,34.58,34.85,34.87,33.2,,,,,,,,,
7,42.1,38.89,43.02,37.47,32.56,32.37,31.38,28.33,,,,,,,,,
8,40.03,36.63,40.73,34.44,29.43,28.73,26.71,22.84,,,,,,,,,
9,38.31,34.97,38.91,31.96,26.86,25.64,22.92,18.55,,,,,,,,,
10,36.71,33.53,37.38,30.06,24.93,23.44,20.23,15.64,,,,,,,,,
11,35.54,32.21,36.01,28.87,23.71,22.16,18.94,14.33,,,,,,,,,
12,35.22,31.81,35.4,28.71,23.53,22.11,19.07,14.23,,,,,,,,,
13,36.21,32.78,36.34,30.1,24.94,23.84,21.16,16.19,,,,,,,,,
14,38.4,35.06,38.7,32.99,28.0,27.45,25.34,20.8,,,,,,,,,
15,41.8,38.78,42.62,37.41,32.66,32.77,31.31,27.61,,,,,,,,,
16,45.63,43.05,46.92,42.17,37.6,38.29,37.88,35.98,,,,,,,,,
17,47.55,45.25,49.16,44.65,40.27,41.27,41.7,41.58,,,,,,,,,
18,46.65,44.36,48.37,43.87,39.65,40.82,41.67,42.52,,,,,,,,,
19,43.68,41.36,45.54,40.98,36.89,38.26,39.1,40.16,,,,,,,,,
20,40.61,38.4,42.71,38.08,33.93,35.43,36.15,37.21,,,,,,,,,
21,37.49,35.39,39.79,35.24,31.02,32.54,33.23,34.4,,,,,,,,,
22,34.32,32.36,36.82,32.54,28.27,29.82,30.42,31.65,,,,,,,,,
23,32.24,30.32,34.74,30.73,26.36,27.86,28.48,29.77,,,,,,,,,
