week,FR_w1,FR_w2,FR_w3,FR_w4,FR_w5,FR_w6,FR_w7,FR_w8,FR_min,FR_range,FR_avg,ES_w1,ES_w2,ES_w3,ES_w4,ES_w5,ES_w6,ES_w7,ES_w8,ES_min,ES_range,ES_avg,PT_w1,PT_w2,PT_w3,PT_w4,PT_w5,PT_w6,PT_w7,PT_w8,PT_min,PT_range,PT_avg,IT_w1,IT_w2,IT_w3,IT_w4,IT_w5,IT_w6,IT_w7,IT_w8,IT_min,IT_range,IT_avg,NO_w1,NO_w2,NO_w3,NO_w4,NO_w5,NO_w6,NO_w7,NO_w8,NO_min,NO_range,NO_avg,SE_w1,SE_w2,SE_w3,SE_w4,SE_w5,SE_w6,SE_w7,SE_w8,SE_min,SE_range,SE_avg,FI_w1,FI_w2,FI_w3,FI_w4,FI_w5,FI_w6,FI_w7,FI_w8,FI_min,FI_range,FI_avg,AT_w1,AT_w2,AT_w3,AT_w4,AT_w5,AT_w6,AT_w7,AT_w8,AT_min,AT_range,AT_avg,CH_w1,CH_w2,CH_w3,CH_w4,CH_w5,CH_w6,CH_w7,CH_w8,CH_min,CH_range,CH_avg,DEpump_w1,DEpump_w2,DEpump_w3,DEpump_w4,DEpump_w5,DEpump_w6,DEpump_w7,DEpump_w8,DEpump_min,DEpump_range,DEpump_avg,GBpump_w1,GBpump_w2,GBpump_w3,GBpump_w4,GBpump_w5,GBpump_w6,GBpump_w7,GBpump_w8,GBpump_min,GBpump_range,GBpump_avg
1,2.056,2.742,2.082,2.137,2.347,2.368,2.3,1.558,1.506,1.236,2.177,8.007,9.753,9.026,7.149,9.142,9.367,9.766,9.594,5.285,6.362,8.813,1.532,2.404,1.724,1.131,2.451,2.501,1.872,2.397,1.131,1.37,1.9,2.705,3.127,3.117,2.462,2.202,3.054,2.857,2.197,2.202,1.887,2.986,49.91,55.494,64.866,45.418,53.925,49.076,64.35,57.537,45.418,19.448,54.822,17.301,20.546,23.605,19.216,17.778,16.646,25.063,21.581,16.533,8.53,19.759,2.667,3.258,4.011,3.209,3.131,3.277,3.042,3.424,2.667,1.344,3.384,1.373,1.534,1.007,1.26,1.597,1.423,1.246,1.181,0.785,0.812,1.228,4.42,4.837,3.338,3.284,4.499,4.031,4.414,4.685,2.685,2.152,3.746,124.874,193.54,205.715,177.821,226.441,164.714,137.995,129.106,124.874,101.567,175.872,46.351,27.294,52.986,28.517,0.0,47.206,53.275,28.435,0.0,53.275,36.518
2,1.931,2.653,1.924,1.998,2.331,2.202,1.977,1.509,1.352,1.3,2.05,7.878,9.922,9.367,7.209,9.606,9.608,9.912,9.529,5.33,6.187,8.935,1.512,2.306,1.705,1.11,2.555,2.451,2.01,2.311,1.11,1.445,1.919,2.594,2.982,3.012,2.389,2.233,2.927,2.748,2.133,2.233,1.762,2.89,47.504,54.438,62.24,43.952,51.118,46.03,63.894,54.492,43.952,19.942,52.687,16.239,20.092,22.596,18.718,16.707,15.264,25.273,20.437,15.264,10.009,18.914,2.571,3.262,3.917,3.09,3.072,3.081,2.993,3.287,2.571,1.346,3.285,1.326,1.426,0.952,1.175,1.541,1.261,1.151,1.054,0.737,0.804,1.157,4.154,4.47,2.965,3.014,4.335,2.996,4.131,4.195,2.169,2.302,3.383,176.023,184.858,182.009,190.26,231.496,197.443,170.792,193.545,170.792,60.704,190.411,14.02,27.482,57.832,36.701,45.34,48.742,45.91,39.793,14.02,43.812,39.433
3,1.75,2.427,1.773,1.817,1.861,2.146,1.849,1.478,0.988,1.468,1.871,7.802,9.95,9.367,7.116,10.152,10.547,9.885,9.543,5.403,6.128,9.023,1.473,2.252,1.721,1.048,2.616,2.597,2.049,2.26,1.048,1.567,1.923,2.49,2.857,2.983,2.196,2.24,2.778,2.631,2.067,2.196,1.624,2.784,44.553,53.991,58.446,42.769,49.046,44.7,61.638,51.191,42.769,18.869,50.676,15.003,19.893,21.232,18.142,16.127,14.533,24.858,18.955,14.533,10.325,18.118,2.413,3.241,3.796,2.967,2.998,2.989,2.872,3.121,2.413,1.383,3.179,1.177,1.274,0.9,1.037,1.375,1.158,0.989,0.984,0.647,0.728,1.042,3.693,3.974,2.694,2.74,3.887,3.326,3.612,3.774,1.774,2.2,3.089,165.367,215.29,161.913,174.057,207.137,186.969,225.932,167.317,161.913,64.019,190.952,33.658,31.332,37.316,24.01,45.052,52.322,37.338,24.07,24.01,28.312,37.29
4,1.591,2.194,1.859,1.747,1.741,2.011,1.844,1.321,0.907,1.383,1.785,8.08,10.149,10.27,7.003,10.162,10.645,10.506,10.276,5.412,6.291,9.228,1.442,2.235,1.968,1.025,2.612,2.688,2.078,2.3,1.025,1.662,1.945,2.474,2.762,2.886,2.116,2.248,2.62,2.53,2.036,2.116,1.562,2.679,41.731,52.48,55.336,40.941,46.902,43.717,58.811,47.816,40.941,17.87,48.459,13.793,19.415,19.846,17.101,15.041,14.318,24.027,17.467,13.793,10.234,17.204,2.305,3.237,3.627,2.824,2.879,2.934,2.78,2.96,2.305,1.322,3.067,1.078,1.157,0.853,0.963,1.269,1.074,0.962,0.917,0.575,0.695,0.972,3.289,3.522,2.523,2.497,3.519,2.472,3.186,3.356,1.525,1.997,2.731,224.259,212.023,189.295,193.227,230.585,164.522,212.62,158.74,164.522,66.063,203.79,58.197,40.148,29.094,28.702,50.91,59.041,68.886,24.024,28.702,40.184,47.854
5,1.475,2.214,1.726,1.729,1.549,1.968,1.619,1.303,0.971,1.243,1.685,8.546,10.445,12.156,6.965,9.996,10.526,11.302,12.133,5.359,6.798,9.619,1.519,2.302,2.146,1.029,2.533,2.567,2.506,2.657,1.029,1.538,2.006,2.517,2.663,2.831,2.034,2.078,2.522,2.444,2.093,2.034,1.563,2.614,39.352,50.56,51.904,39.219,45.001,41.067,56.098,44.791,39.219,16.879,45.95,12.848,18.612,18.499,16.343,14.401,12.89,23.075,15.955,12.848,10.227,16.153,2.24,3.153,3.432,2.708,2.8,2.734,2.674,2.777,2.24,1.278,2.939,1.005,1.154,0.748,0.934,1.184,1.018,0.892,0.89,0.534,0.651,0.911,2.971,3.378,2.247,2.335,3.287,2.705,2.915,3.067,1.476,1.902,2.578,194.406,229.862,187.459,171.287,169.451,188.761,183.542,175.047,169.451,60.411,189.253,44.668,36.777,35.496,41.797,48.146,57.236,45.344,29.992,35.496,21.741,44.209
6,1.447,2.174,1.534,1.697,1.49,1.855,1.415,1.369,0.937,1.237,1.566,8.771,10.452,12.156,6.93,9.887,10.642,11.243,13.981,5.459,6.697,9.768,1.604,2.394,2.486,1.029,2.456,2.46,2.567,2.765,1.029,1.563,2.081,2.469,2.592,2.71,1.973,2.032,2.441,2.367,2.174,1.973,1.47,2.545,37.714,49.178,48.977,37.387,43.071,38.305,52.738,41.713,37.387,15.35,43.62,12.065,17.849,17.223,15.273,13.514,11.804,21.856,14.45,11.804,10.052,15.141,2.18,3.094,3.272,2.619,2.67,2.612,2.528,2.571,2.18,1.18,2.814,0.93,1.137,0.667,0.88,1.074,0.936,0.79,0.843,0.529,0.608,0.845,2.785,3.187,1.887,2.197,3.03,2.486,2.569,2.805,1.358,1.829,2.352,175.905,214.055,184.133,151.595,189.48,180.546,178.097,134.321,151.595,62.46,181.973,43.99,39.028,40.768,38.904,43.004,22.884,44.991,22.968,22.884,22.107,39.081
7,1.319,2.117,1.516,1.74,1.443,1.729,1.335,1.428,0.936,1.181,1.491,8.867,10.407,12.683,6.906,9.817,10.824,11.178,15.051,5.67,7.013,9.881,1.651,2.337,2.593,1.042,2.425,2.535,2.506,2.944,1.042,1.684,2.114,2.393,2.507,2.592,2.136,1.987,2.335,2.252,2.148,1.987,1.251,2.461,36.332,48.345,47.937,34.978,41.023,35.957,50.178,39.062,34.978,15.201,41.626,11.207,17.188,16.292,14.253,12.473,10.895,20.777,13.083,10.895,9.882,14.167,2.094,3.065,3.15,2.467,2.494,2.489,2.43,2.41,2.094,1.077,2.686,0.862,1.086,0.612,0.886,1.04,0.88,0.684,0.792,0.525,0.561,0.79,2.575,2.95,1.376,2.152,2.875,2.269,2.149,2.592,1.226,1.725,2.119,166.66,223.392,157.932,181.897,172.23,170.183,195.317,156.24,157.932,65.46,181.087,45.814,34.488,19.214,58.909,49.962,0.0,39.629,21.782,0.0,58.909,35.431
8,1.227,2.009,1.387,1.605,1.343,1.609,1.226,1.43,0.812,1.197,1.357,8.865,10.319,12.603,6.818,9.759,11.228,11.124,15.377,5.77,6.832,9.918,1.668,2.279,2.635,1.042,2.394,2.549,2.437,3.063,1.042,1.642,2.107,2.313,2.432,2.471,2.079,2.006,2.338,2.148,2.046,2.006,1.116,2.4,35.024,45.962,45.985,32.407,38.667,33.63,48.256,37.042,32.407,15.848,39.36,10.463,16.056,15.521,13.208,11.822,9.957,19.808,11.733,9.957,9.851,13.189,1.983,2.969,3.02,2.303,2.368,2.371,2.368,2.261,1.983,1.037,2.553,0.794,1.063,0.535,0.807,0.946,0.784,0.617,0.758,0.52,0.543,0.726,2.383,2.777,1.376,1.956,2.602,1.979,1.806,2.329,0.76,2.017,1.785,151.06,223.057,150.849,188.387,138.404,198.785,204.382,150.698,138.404,84.653,179.275,41.814,29.69,12.638,45.242,39.917,41.668,60.06,39.624,12.638,47.423,38.719
9,1.162,1.864,1.176,1.421,1.352,1.477,1.138,1.235,0.665,1.199,1.277,8.912,10.393,12.603,6.793,9.735,11.814,11.213,15.346,6.659,5.995,10.096,1.661,2.209,2.603,1.021,2.35,2.725,2.42,3.089,1.021,1.704,2.107,2.254,2.331,2.362,1.84,1.841,2.283,2.039,1.945,1.84,1.193,2.312,33.321,43.439,43.819,29.964,35.651,31.198,49.002,34.934,29.964,19.038,37.206,9.69,14.897,14.46,12.079,10.324,8.608,19.236,10.772,8.608,10.628,12.101,1.893,2.867,2.837,2.128,2.155,2.167,2.361,2.169,1.893,0.974,2.409,0.748,1.015,0.455,0.693,0.819,0.664,0.551,0.668,0.455,0.561,0.649,2.215,2.492,1.259,1.801,2.245,1.647,1.552,2.086,0.703,1.788,1.581,175.048,222.659,171.917,172.391,192.719,170.865,175.957,180.243,170.865,51.794,183.079,45.135,34.37,46.97,38.659,36.188,46.488,37.66,44.618,34.37,12.599,40.781
10,1.158,1.816,1.154,1.375,1.437,1.359,1.006,1.111,0.704,1.113,1.215,9.087,10.702,12.508,6.881,9.947,12.232,11.699,15.223,6.881,5.932,10.386,1.698,2.283,2.581,1.026,2.384,2.786,2.43,3.053,1.026,1.759,2.149,2.223,2.307,2.262,1.838,1.865,2.233,2.085,1.897,1.838,1.13,2.294,31.545,41.581,41.202,27.538,33.46,29.209,46.52,33.472,27.538,18.982,35.095,8.711,13.942,13.484,11.2,9.385,7.725,18.219,10.039,7.725,10.494,11.167,1.791,2.757,2.67,2.025,2.039,2.072,2.235,2.158,1.791,0.966,2.287,0.709,0.962,0.402,0.64,0.779,0.57,0.493,0.576,0.402,0.56,0.596,2.261,2.231,1.062,1.678,2.096,1.345,1.397,1.803,0.863,1.398,1.516,188.918,235.676,175.842,192.623,206.952,165.336,214.204,190.097,165.336,70.339,197.079,42.462,43.455,25.128,39.31,39.58,37.982,30.12,28.301,25.128,18.326,36.862
