row,win_year,f1_Ge_w,f1_Sp_w,f1_Po_w,f1_Fr_w,f1_It_w,f3_Ge_w,f3_Sp_w,f3_Po_w,f3_Fr_w,f3_It_w,i_DE_w1,i_DE_w2,i_DE_w3,i_DE_w4,i_DE_w5,i_DE_w6,i_DE_w7,i_DE_w8,i_ES_w1,i_ES_w2,i_ES_w3,i_ES_w4,i_ES_w5,i_ES_w6,i_ES_w7,i_ES_w8,a_DE_w1,a_DE_w2,a_DE_w3,a_DE_w4,a_DE_w5,a_DE_w6,a_DE_w7,a_DE_w8,c_DE_w1,c_DE_w2,c_DE_w3,c_DE_w4,c_DE_w5,c_DE_w6,c_DE_w7,c_DE_w8,c_ES_w1,c_ES_w2,c_ES_w3,c_ES_w4,c_ES_w5,c_ES_w6,c_ES_w7,c_ES_w8,d_PT_w1,d_PT_w2,d_PT_w3,d_PT_w4,d_PT_w5,d_PT_w6,d_PT_w7,d_PT_w8,n_DE_w1,n_DE_w2,n_DE_w3,n_DE_w4,n_DE_w5,n_DE_w6,n_DE_w7,n_DE_w8,mm_DE_min,mm_DE_max,gm_Gas,gm_Biomass,gm_HydroROR,gm_HydroRes,gm_HydroPump,gm_Onshore,gm_Solar,gm_Other,gm_Price,md_M01,md_M02,md_M03,md_M04,md_M05,md_M06,md_M07,md_M08,md_M09,md_M10,md_M11,md_M12,i_PT_w1,i_PT_w2,i_PT_w3,i_PT_w4,i_PT_w5,i_PT_w6,i_PT_w7,i_PT_w8,i_FR_w1,i_FR_w2,i_FR_w3,i_FR_w4,i_FR_w5,i_FR_w6,i_FR_w7,i_FR_w8,i_IT_w1,i_IT_w2,i_IT_w3,i_IT_w4,i_IT_w5,i_IT_w6,i_IT_w7,i_IT_w8,c_PT_w1,c_PT_w2,c_PT_w3,c_PT_w4,c_PT_w5,c_PT_w6,c_PT_w7,c_PT_w8,c_FR_w1,c_FR_w2,c_FR_w3,c_FR_w4,c_FR_w5,c_FR_w6,c_FR_w7,c_FR_w8,c_IT_w1,c_IT_w2,c_IT_w3,c_IT_w4,c_IT_w5,c_IT_w6,c_IT_w7,c_IT_w8,i_GB_w1,i_GB_w2,i_GB_w3,i_GB_w4,i_GB_w5,i_GB_w6,i_GB_w7,i_GB_w8,c_GB_w1,c_GB_w2,c_GB_w3,c_GB_w4,c_GB_w5,c_GB_w6,c_GB_w7,c_GB_w8,f1_GB_w,f3_GB_w
1,2019,15.52,10.88,10.81,14.02,12.67,211.0,0.0,0.0,27.0,0.0,0.7721,0.7574,0.7706,0.8372,0.8402,0.8513,0.9172,1.0565,0.9061,0.8751,0.9254,0.9481,0.9757,1.0188,1.0733,1.2955,29.08,23.08,74.64,197.11,79.97,66.84,81.93,109.13,21.0,0.0,0.0,0.0,14.0,11.0,17.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,74.74,68.9,409.0,651.0,220.0,193.0,240.0,293.75,31.06,29.22,33.71,29.82,25.37,26.77,27.46,28.01,-1.01,10.05,800.5,321.0,1000.7,340.3,549.9,1642.1,0.1,25.7,70.5,85.59,108.98,90.12,82.49,81.33,79.79,91.22,83.49,69.63,62.59,76.86,73.12,0.9134,0.8764,0.926,0.9473,0.9632,1.0178,1.0656,1.2962,0.8104,0.7853,0.829,0.842,0.8601,0.8566,0.9149,1.0937,0.8359,0.8083,0.8591,0.872,0.885,0.8802,0.9174,0.9828,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8437,0.7668,0.804,0.8437,0.8444,0.8358,0.8825,0.9643,0.0,0.0,0.0,7.0,6.0,1.0,3.0,0.0,14.8,27.0
2,2020,17.5,11.42,11.26,16.11,14.63,298.0,0.0,0.0,102.0,0.0,0.7461,0.7187,0.7456,0.8143,0.8162,0.8299,0.8967,1.0354,0.8718,0.8319,0.8945,0.9131,0.9438,0.9847,1.0182,1.2507,28.1,21.9,72.21,191.73,77.68,65.16,80.1,106.95,27.0,0.0,0.0,1.0,14.0,12.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,69.81,56.62,334.55,395.65,165.22,158.47,169.22,207.39,30.92,29.04,33.54,29.76,25.25,26.55,27.23,27.99,1.56,152.94,801.6,320.7,917.6,306.9,429.9,1644.4,0.1,25.7,67.0,82.18,106.42,88.17,81.95,80.45,78.16,89.35,81.99,69.13,60.58,74.27,70.59,0.8773,0.8341,0.895,0.9122,0.9313,0.9852,1.0116,1.2507,0.7483,0.7308,0.7741,0.8032,0.8079,0.7682,0.8242,0.9978,0.8043,0.7652,0.8297,0.8494,0.8596,0.8575,0.9024,0.9648,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8225,0.7617,0.7919,0.8257,0.8179,0.7971,0.8571,0.952,0.0,0.0,0.0,8.0,6.0,5.0,3.0,0.0,20.14,161.0
3,2021,73.68,74.71,74.7,84.31,81.08,139.0,0.0,0.0,64.0,0.0,0.7387,0.7029,0.7413,0.81,0.8094,0.8244,0.9008,1.0363,0.8545,0.8111,0.8673,0.896,0.9194,0.9566,0.9882,1.2221,27.82,21.42,71.8,190.72,77.04,64.72,80.46,107.04,27.0,2.0,0.0,6.0,14.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,68.4,54.56,307.92,330.07,159.37,150.0,157.84,194.01,31.66,29.72,34.24,30.51,25.89,27.1,27.84,28.68,69.94,116.66,804.6,320.3,891.5,291.9,378.2,1652.6,0.1,25.4,64.9,80.36,104.47,87.03,83.44,82.67,79.13,90.16,84.29,72.35,61.0,73.01,69.55,0.8588,0.8136,0.8682,0.8944,0.9072,0.9563,0.9806,1.222,0.6977,0.6857,0.7247,0.7789,0.7583,0.6892,0.7611,0.9458,0.79,0.7445,0.82,0.8407,0.8484,0.8506,0.8978,0.957,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7974,0.7102,0.7557,0.7906,0.7754,0.7589,0.8327,0.9287,0.0,0.0,0.0,14.0,6.0,5.0,3.0,0.0,105.56,31.0
4,2022,142.82,69.46,69.13,145.84,133.15,70.0,0.0,0.0,4.0,0.0,0.7738,0.7458,0.7799,0.8564,0.8489,0.8705,0.9477,1.0707,0.8604,0.8215,0.8686,0.9061,0.9303,0.9597,0.996,1.2369,29.15,22.73,75.53,201.63,80.8,68.35,84.66,110.59,27.0,4.0,0.0,6.0,16.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,67.66,53.28,285.23,291.01,153.93,144.38,150.99,187.07,33.53,31.49,36.03,32.27,27.61,28.69,29.58,30.27,90.2,151.24,807.9,319.7,910.9,297.5,413.6,1657.2,0.1,25.0,65.2,81.73,106.47,89.15,91.3,88.65,83.72,94.7,91.66,81.09,64.36,74.51,70.38,0.8633,0.8239,0.8697,0.9054,0.9184,0.9574,0.9857,1.2368,0.7282,0.7026,0.7591,0.8084,0.7923,0.7279,0.7787,0.9924,0.8108,0.7714,0.8378,0.8588,0.8673,0.8697,0.9167,0.974,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7798,0.6839,0.739,0.7841,0.7738,0.7618,0.824,0.929,0.0,0.0,0.0,14.0,10.0,5.0,3.0,0.0,124.76,67.0
5,2023,47.58,41.34,39.93,45.53,35.59,300.0,0.0,0.0,147.0,0.0,0.9055,0.8905,0.913,0.9875,0.9863,1.0208,1.0628,1.1609,0.8944,0.8858,0.9268,0.96,1.0045,1.0305,1.0744,1.3201,34.11,27.14,88.42,232.5,93.88,80.14,94.94,119.91,27.0,4.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,66.5,52.53,265.35,278.0,150.0,140.09,145.0,182.83,37.41,34.95,39.51,35.62,30.89,31.79,32.75,32.8,27.52,100.33,817.2,319.0,1011.8,339.6,576.3,1665.2,0.1,24.8,69.9,87.63,110.28,98.04,110.23,101.3,92.04,104.92,101.38,101.7,79.47,79.34,74.55,0.8944,0.8875,0.927,0.9582,0.9916,1.0231,1.0566,1.3192,0.837,0.8135,0.8807,0.9157,0.9003,0.8623,0.9176,1.1228,0.892,0.8747,0.9157,0.935,0.9405,0.9483,0.997,1.0432,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8209,0.7323,0.7748,0.8128,0.8208,0.8037,0.8583,0.9775,0.0,0.0,0.0,14.0,10.0,5.0,3.0,0.0,45.09,205.0
6,2024,52.73,45.94,45.57,40.66,29.66,457.0,247.0,196.0,352.0,0.0,1.0721,1.0666,1.0695,1.1114,1.1422,1.1649,1.1869,1.1971,0.9586,0.9629,0.9956,1.044,1.1035,1.168,1.2294,1.3903,40.38,32.5,103.58,261.66,108.71,91.46,106.03,123.65,27.0,4.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,65.0,51.73,254.76,268.04,146.73,136.59,138.86,178.83,41.26,38.43,42.84,38.62,33.81,34.43,35.17,33.73,9.2,41.37,829.7,319.1,1105.6,425.8,884.9,1668.5,10.6,24.9,79.4,102.13,125.37,118.95,124.03,101.6,86.89,105.41,101.94,125.51,107.03,91.13,84.3,0.9565,0.9624,0.9939,1.0422,1.0883,1.1476,1.1996,1.3826,1.0065,0.9742,1.0259,1.0545,1.0702,1.0888,1.1352,1.248,1.0079,1.0152,1.0194,1.0375,1.0589,1.0694,1.0933,1.0914,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888,0.8329,0.8566,0.9081,0.9437,0.9096,0.9542,1.023,0.0,0.0,0.0,14.0,10.0,5.0,3.0,0.0,37.16,235.0
7,2025,52.09,47.61,46.44,46.38,29.69,576.0,556.0,200.0,513.0,0.0,1.1763,1.1929,1.1878,1.1791,1.182,1.19,1.2039,1.1432,1.0297,1.0354,1.0603,1.0961,1.1621,1.2049,1.2756,1.2694,44.31,36.35,115.04,277.6,112.5,93.43,107.54,118.08,27.0,4.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,63.64,50.92,248.02,260.79,143.9,133.02,134.42,175.0,43.1,40.07,44.27,39.48,34.58,34.85,34.87,31.37,5.01,101.11,845.8,319.2,1126.7,472.1,976.8,1659.6,133.3,25.0,82.3,127.19,151.48,127.16,105.41,83.81,71.39,100.08,90.5,110.38,114.36,115.07,97.0,1.0245,1.031,1.0556,1.0928,1.1462,1.1775,1.2433,1.235,1.1347,1.1154,1.1486,1.1396,1.1734,1.2625,1.2872,1.2639,1.0928,1.1004,1.1008,1.101,1.1265,1.1316,1.1267,1.0878,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912,0.9376,0.9453,1.0415,1.0449,1.0343,1.0479,1.0405,0.0,0.0,0.0,14.0,13.0,5.0,3.0,0.0,47.8,238.0
8,,,,,,,,,,,,1.1559,1.1741,1.1647,1.1165,1.1216,1.0695,1.0825,0.9598,1.0604,1.0647,1.0697,1.0756,1.1047,1.0979,1.0803,0.9042,43.54,35.78,112.8,262.88,106.75,83.97,96.7,99.14,27.0,6.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,62.01,50.27,240.45,255.0,141.39,130.0,130.86,172.48,42.1,38.89,43.02,37.47,32.56,32.37,31.38,25.87,57.01,155.46,859.2,318.9,1070.8,445.4,777.3,1595.8,505.0,24.9,71.2,151.04,165.83,109.53,76.52,53.47,43.5,83.98,69.51,84.41,98.19,120.69,108.45,1.0541,1.0586,1.0666,1.0733,1.0906,1.0803,1.0752,0.8763,1.157,1.1506,1.1565,1.1131,1.1501,1.194,1.2031,1.0404,1.1114,1.1178,1.11,1.079,1.1136,1.1055,1.084,1.0277,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735,1.0279,1.0453,1.0992,1.0812,1.0919,1.0944,1.0249,0.0,0.0,0.0,14.0,13.0,5.0,3.0,0.0,,
9,,,,,,,,,,,,1.092,1.087,1.0992,1.0175,0.9948,0.9075,0.871,0.7503,1.0666,1.0562,1.0427,1.0114,0.9602,0.8981,0.7847,0.5451,41.13,33.12,106.46,239.56,94.68,71.25,77.8,77.5,27.0,6.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,60.8,49.87,234.04,250.0,139.48,127.32,127.94,169.52,40.03,36.63,40.73,34.44,29.43,28.73,26.71,19.87,84.79,164.88,853.1,318.3,965.8,350.8,455.1,1494.5,1047.6,25.0,53.5,136.53,144.35,85.65,50.32,24.37,20.36,68.65,49.58,59.87,82.71,109.26,106.1,1.0613,1.0542,1.0416,1.0145,0.9592,0.8987,0.8079,0.5647,1.1247,1.1187,1.1127,1.0563,1.052,1.0219,0.9498,0.757,1.0666,1.0589,1.07,1.0198,1.0305,1.011,0.9847,0.9264,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0805,1.063,1.0588,1.0776,1.0689,1.0751,1.0419,0.9555,0.0,0.0,0.0,14.0,13.0,5.0,3.0,0.0,,
10,,,,,,,,,,,,1.0408,1.0181,1.0419,0.9349,0.894,0.7729,0.7065,0.5765,1.0601,1.0421,1.0062,0.9489,0.846,0.7428,0.5911,0.3467,39.2,31.02,100.9,220.11,85.08,60.68,63.11,59.54,27.0,6.0,0.0,6.0,19.0,17.0,17.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,59.97,49.16,228.86,247.37,137.67,124.98,125.21,166.03,38.31,34.97,38.91,31.96,26.86,25.64,22.92,15.29,69.05,144.12,844.6,317.2,835.5,278.4,242.0,1402.4,1544.9,25.0,41.1,122.9,125.57,60.76,32.54,10.25,7.7,58.29,31.17,41.91,71.64,100.13,98.27,1.0563,1.0414,1.0066,0.9554,0.8738,0.7594,0.6216,0.4091,1.0959,1.0892,1.0645,1.0268,0.9623,0.8568,0.75,0.5491,1.0106,1.0036,1.0281,0.9813,0.9468,0.9284,0.8928,0.8329,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0602,1.0818,1.0586,1.0524,1.0458,1.0432,0.9854,0.9022,0.0,0.0,0.0,14.0,14.0,5.0,3.0,0.0,,
