country,year,total_hours,neg_hours,near_neg_hours,neg_pct,near_neg_pct
DE,2019,8760,211,272,2.41,3.11
DE,2020,8784,298,435,3.39,4.95
DE,2021,8760,139,204,1.59,2.33
DE,2022,8760,70,125,0.8,1.43
DE,2023,8760,300,425,3.42,4.85
DE,2024,8784,457,628,5.2,7.15
DE,2025,8760,576,749,6.58,8.55
DE,2026,5950,445,514,7.48,8.64
ES,2019,8760,0,10,0.0,0.11
ES,2020,8784,0,0,0.0,0.0
ES,2021,8760,0,40,0.0,0.46
ES,2022,8760,0,19,0.0,0.22
ES,2023,8760,0,171,0.0,1.95
ES,2024,8784,247,1064,2.81,12.11
ES,2025,8760,556,1048,6.35,11.96
ES,2026,5950,724,1208,12.17,20.3
FR,2019,8760,27,38,0.31,0.43
FR,2020,8784,102,151,1.16,1.72
FR,2021,8760,64,114,0.73,1.3
FR,2022,8760,4,26,0.05,0.3
FR,2023,8760,147,271,1.68,3.09
FR,2024,8784,352,739,4.01,8.41
FR,2025,8760,513,853,5.86,9.74
FR,2026,5950,537,783,9.03,13.16
GB,2019,8602,27,30,0.31,0.35
GB,2020,8260,161,172,1.95,2.08
GB,2021,8397,31,31,0.37,0.37
GB,2022,8750,67,67,0.77,0.77
GB,2023,8755,205,213,2.34,2.43
GB,2024,8784,235,251,2.68,2.86
GB,2025,8756,238,259,2.72,2.96
GB,2026,5946,139,149,2.34,2.51
IT,2019,8760,0,0,0.0,0.0
IT,2020,8784,0,11,0.0,0.13
IT,2021,8760,0,0,0.0,0.0
IT,2022,8760,0,0,0.0,0.0
IT,2023,8760,0,0,0.0,0.0
IT,2024,8784,0,4,0.0,0.05
IT,2025,8760,0,13,0.0,0.15
IT,2026,5950,0,24,0.0,0.4
PT,2019,8760,0,17,0.0,0.19
PT,2020,8784,0,0,0.0,0.0
PT,2021,8760,0,44,0.0,0.5
PT,2022,8760,0,23,0.0,0.26
PT,2023,8760,0,122,0.0,1.39
PT,2024,8784,196,1012,2.23,11.52
PT,2025,8760,200,646,2.28,7.37
PT,2026,5950,584,1141,9.82,19.18
